Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,URL,Описание,Код товара,Тип,Вес,Остаток,Старая цена,Назначение,Вид,Кратность заказа,Сорт кофе,Обжарка,Страна происхождения кофе
https://cdn.entero.ru/mp@2x/39/f9/39f9caf517fcab2e555522a9e15131e4.jpg;https://cdn.entero.ru/mp@2x/22/8f/228f577d2c3545ff7a239a62dc18a532.jpg,"Кофе Nivona Oro (в зернах, 0,25 кг)",Кофе Oro 250,936,RUB,Да,Nivona,Кофеварки и кофемашины,Кофе,https://entero.ru/item/187296,"<p>Кофе <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/187296""><b class=""b"">Nivona Oro </b></a>предназначен для приготовления эспрессо и других кофейных напитков на предприятиях общественного питания и торговли, в частных домах и квартирах. Упаковка выпонена из фольгированного полиэтилена. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Состав: арабика 100% </li>
<li>Сочетание мягкого вкусового профиля: горький шоколад, орехи и минимальная цитрусовая кислотность с легкой перечной остротой</li>
<li>Высокогорная арабика придаёт аромату лёгкую дымность, ощущаются жареные злаки и какао </li>
<li>Отборные зерна специальной обработки </li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичный продукт в упаковке с другим весом. </span></em></p>",187296,в зернах,0.25 кг,0,,для эспрессо,,,арабика,средняя,Бразилия
https://cdn.entero.ru/mp@2x/be/78/be788811d54d99c53c2903c4814dc7b5.jpg;https://cdn.entero.ru/mp@2x/28/88/28887f9b2ab2b0551a70296095e74fa4.jpg,"Кофе Nivona Platinum (в зернах, 0,25 кг)",Кофе Platinum 250,936,RUB,Да,Nivona,Кофеварки и кофемашины,Кофе,https://entero.ru/item/187312,"<p>Кофе <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/187312""><b class=""b"">Nivona Platinum </b></a>предназначен для приготовления эспрессо и других кофейных напитков на предприятиях общественного питания и торговли, в частных домах и квартирах. Упаковка выпонена из фольгированного полиэтилена. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Состав:
<ul>
<li>Арабика: 85%</li>
<li>Робуста: 15%</li>
</ul>
</li>
<li>Лёгкая терпкость грецкого ореха и цветочная кислотность </li>
<li>Во вкусе жареный миндаль и тёмный шоколад </li>
<li>В аромате лёгкие дымно-табачные нотки </li>
<li>Карамельное послевкусие</li>
<li>Отборные зерна специальной обработки</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичный продукт в упаковке с другим весом. </span></em></p>",187312,в зернах,0.25 кг,0,1282,для эспрессо,,,"арабика, робуста",средняя,Бразилия
https://cdn.entero.ru/mp@2x/b9/c3/b9c352edd12d2b0fbf2ffb1ab1d46c05.jpg;https://cdn.entero.ru/mp@2x/e7/4d/e74dcec8bf01ee623e3b956030e64063.jpg,Кофе в зернах Nivona Jumbo 250 г,Кофе Jumbo 250,1195,RUB,Да,Nivona,Кофеварки и кофемашины,Кофе,https://entero.ru/item/237282,"<p>Кофе в зернах <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/237282""><b class=""b"">Nivona Jumbo </b></a>используется совместно с кофемашинами для приготовления кофе и напитков на его основе на предприятиях общественного питания и торговли, а также в домашних условиях. Продукт с насыщенным вкусом с нотами ореха макадамии и горького шоколада. Упаковка выпонена из фольгированного полиэтилена. </p>

<p><b>Особенности:</b></p>

<ul>
<li>100% арабика</li>
<li>Контроль качества в процессе сбора, обработки и сортировки</li>
<li>Авторская обжарка</li>
</ul>",237282,в зернах,0.25 кг,0,1637,,,,арабика,"светлая, средняя",Колумбия
https://cdn.entero.ru/mp@2x/e6/6e/e66e5bc6c1d24aaa5aa70e8e24b5e9bb.jpg;https://cdn.entero.ru/mp@2x/40/1b/401b7ab4643f0d6de4fb5893cd4a5ce8.jpg,"Кофе Nivona Platinum (в зернах, 0,5 кг)",Кофе Platinum 500,1700,RUB,Да,Nivona,Кофеварки и кофемашины,Кофе,https://entero.ru/item/187314,"<p>Кофе <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/187314""><b class=""b"">Nivona Platinum </b></a>предназначен для приготовления эспрессо и других кофейных напитков на предприятиях общественного питания и торговли, в частных домах и квартирах. Упаковка выпонена из фольгированного полиэтилена. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Состав:
<ul>
<li>Арабика: 85%</li>
<li>Робуста: 15%</li>
</ul>
</li>
<li>Лёгкая терпкость грецкого ореха и цветочная кислотность </li>
<li>Во вкусе жареный миндаль и тёмный шоколад </li>
<li>В аромате лёгкие дымно-табачные нотки </li>
<li>Карамельное послевкусие</li>
<li>Отборные зерна специальной обработки</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичный продукт в упаковке с другим весом. </span></em></p>",187314,в зернах,0.5 кг,0,,для эспрессо,,,"арабика, робуста",средняя,Бразилия
https://cdn.entero.ru/mp@2x/93/01/9301516f53b22f2db47c5f18680c5927.jpg;https://cdn.entero.ru/mp@2x/40/6c/406ced0dead64b8a26c262e939c56dc3.jpg,"Кофе Nivona Oro (в зернах, 0,5 кг)",Кофе Oro 500,1825,RUB,Да,Nivona,Кофеварки и кофемашины,Кофе,https://entero.ru/item/187297,"<p>Кофе <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/187297""><b class=""b"">Nivona Oro </b></a>предназначен для приготовления эспрессо и других кофейных напитков на предприятиях общественного питания и торговли, в частных домах и квартирах. Упаковка выпонена из фольгированного полиэтилена. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Состав: арабика 100% </li>
<li>Сочетание мягкого вкусового профиля: горький шоколад, орехи и минимальная цитрусовая кислотность с легкой перечной остротой</li>
<li>Высокогорная арабика придаёт аромату лёгкую дымность, ощущаются жареные злаки и какао </li>
<li>Отборные зерна специальной обработки </li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичный продукт в упаковке с другим весом. </span></em></p>",187297,в зернах,0.5 кг,0,2607,для эспрессо,,,арабика,средняя,Бразилия
https://cdn.entero.ru/mp@2x/13/9c/139ca57a08a5de32c46653d23d88ab25.jpg;https://cdn.entero.ru/mp@2x/be/e1/bee17ed228422549fcbbad62102dfd88.jpg,"Кофе Nivona Latina Fuerte (в зернах, 0,5 кг)",Кофе Latina Fuerte 500,2313,RUB,Да,Nivona,Кофеварки и кофемашины,Кофе,https://entero.ru/item/187284,"<p>Кофе <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/187284""><b class=""b"">Nivona Latina Fuerte </b></a>предназначен для приготовления эспрессо и других кофейных напитков на предприятиях общественного питания и торговли, в частных домах и квартирах. Упаковка выпонена из фольгированного полиэтилена. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Состав: арабика 100% </li>
<li>Аромат сладкой выпечки и бисквита</li>
<li>Во вкусе ноты сухофруктов, чернослива и жареного фундука</li>
<li>Интенсивный и очень сбалансированный вкус</li>
<li>Отборные зерна специальной обработки </li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичный продукт в упаковке с другим весом. </span></em></p>",187284,в зернах,0.5 кг,0,,для эспрессо,,,арабика,средняя,Бразилия
https://cdn.entero.ru/mp@2x/42/fe/42fe77891abffbec2684bd907af468d8.jpg;https://cdn.entero.ru/mp@2x/e9/ba/e9ba323af62f67cb4e8cf322d8363506.jpg,"Кофе Nivona Craft (в зернах, 1 кг)",Кофе Craft 1000 / Robotic coffee,2890,RUB,Да,Nivona,Кофеварки и кофемашины,Кофе,https://entero.ru/item/187113,"<p>Кофе <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/187113""><b class=""b"">Nivona Craft </b></a>предназначен для приготовления эспрессо и других кофейных напитков на предприятиях общественного питания и торговли, в частных домах и квартирах. Упаковка выпонена из фольгированного полиэтилена. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Состав: арабика 100% </li>
<li>Сладкий кофе с нотами сухофруктов, чернослива и жареного фундука</li>
<li>Плотный, интенсивный и очень сбалансированный вкус</li>
<li>Отборные зерна специальной обработки </li>
<li>Городская обжарка </li>
</ul>",187113,в зернах,1 кг,0,,для эспрессо,,,арабика,,Бразилия
https://cdn.entero.ru/mp@2x/e7/a3/e7a3cb04149dd2af7919742405cfe320.jpg;https://cdn.entero.ru/mp@2x/4e/b0/4eb0f90d46ea524b67461f334e93ed20.jpg,"Кофе Nivona Platinum (в зернах, 1 кг)",Кофе Platinum 1000,2901,RUB,Да,Nivona,Кофеварки и кофемашины,Кофе,https://entero.ru/item/187308,"<p>Кофе <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/187308""><b class=""b"">Nivona Platinum </b></a>предназначен для приготовления эспрессо и других кофейных напитков на предприятиях общественного питания и торговли, в частных домах и квартирах. Упаковка выпонена из фольгированного полиэтилена. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Состав:
<ul>
<li>Арабика: 85%</li>
<li>Робуста: 15%</li>
</ul>
</li>
<li>Лёгкая терпкость грецкого ореха и цветочная кислотность </li>
<li>Во вкусе жареный миндаль и тёмный шоколад </li>
<li>В аромате лёгкие дымно-табачные нотки </li>
<li>Карамельное послевкусие</li>
<li>Отборные зерна специальной обработки</li>
</ul>",187308,в зернах,1 кг,0,3413,для эспрессо,,,"арабика, робуста",средняя,Бразилия
https://cdn.entero.ru/mp@2x/16/14/1614aca13e70f280f5de6846b29ed827.jpg,"Кофе Nivona Delicato (в зернах, 1 кг)",Кофе Delicato 1000,3129,RUB,Да,Nivona,Кофеварки и кофемашины,Кофе,https://entero.ru/item/187128,"<p>Кофе <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/187128""><b class=""b"">Nivona Delicato </b></a>предназначен для приготовления эспрессо и других кофейных напитков на предприятиях общественного питания и торговли, в частных домах и квартирах. Упаковка выпонена из фольгированного полиэтилена. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Состав: 
<ul>
<li>Арабика: 55% </li>
<li>Робуста: 45%</li>
</ul>
</li>
<li>Утонченный вкус с цитрусовыми, фруктовыми нотками и шоколадным послевкусием </li>
<li>Отборные зерна специальной обработки </li>
<li>Венская обжарка </li>
<li>Срок годности: 18 мес. </li>
</ul>",187128,в зернах,1 кг,0,4064,для эспрессо,,,"арабика, робуста",,Колумбия
https://cdn.entero.ru/mp@2x/b7/b0/b7b03a424648205f0ec62f34a8a31fdf.jpg;https://cdn.entero.ru/mp@2x/43/76/43760f3b55764e304af5b7dfe0bfdd2d.jpg,"Кофе Nivona Oro (в зернах, 1 кг)",Кофе Oro 1000,3129,RUB,Да,Nivona,Кофеварки и кофемашины,Кофе,https://entero.ru/item/187287,"<p>Кофе <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/187287""><b class=""b"">Nivona Oro </b></a>предназначен для приготовления эспрессо и других кофейных напитков на предприятиях общественного питания и торговли, в частных домах и квартирах. Упаковка выпонена из фольгированного полиэтилена. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Состав: арабика 100% </li>
<li>Сочетание мягкого вкусового профиля: горький шоколад, орехи и минимальная цитрусовая кислотность с легкой перечной остротой</li>
<li>Высокогорная арабика придаёт аромату лёгкую дымность, ощущаются жареные злаки и какао </li>
<li>Отборные зерна специальной обработки </li>
</ul>",187287,в зернах,1 кг,0,3961,для эспрессо,,,арабика,средняя,Бразилия
https://cdn.entero.ru/mp@2x/1c/24/1c241f80b3f5240fd6ed839fccc57a0d.jpg,"Кофе Nivona Jumbo (в зернах, 1 кг)",Кофе Jumbo 1000,3463,RUB,Да,Nivona,Кофеварки и кофемашины,Кофе,https://entero.ru/item/187258,"<p>Кофе <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/187258""><b class=""b"">Nivona Jumbo </b></a>предназначен для приготовления эспрессо и других кофейных напитков на предприятиях общественного питания и торговли, в частных домах и квартирах. Упаковка выпонена из фольгированного полиэтилена. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Состав: арабика 100% </li>
<li>Сладкий кофе с нотами ореха макадамии и горького шоколада</li>
<li>Интенсивный и очень сбалансированный вкус </li>
<li>Отборные зерна специальной обработки </li>
<li>Авторская обжарка </li>
</ul>",187258,в зернах,1 кг,0,4877,для эспрессо,,,арабика,"средняя, светлая",Колумбия
https://cdn.entero.ru/mp@2x/25/7b/257bf0913b27973253960b9a410c7099.jpg;https://cdn.entero.ru/mp@2x/5e/7b/5e7ba07097250514f14100021355c8a1.jpg,"Кофе Nivona Latina Fuerte (в зернах, 1 кг)",Кофе Latina Fuerte 1000,4090,RUB,Да,Nivona,Кофеварки и кофемашины,Кофе,https://entero.ru/item/187264,"<p>Кофе <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/187264""><b class=""b"">Nivona Latina Fuerte </b></a>предназначен для приготовления эспрессо и других кофейных напитков на предприятиях общественного питания и торговли, в частных домах и квартирах. Упаковка выпонена из фольгированного полиэтилена. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Состав: арабика 100% </li>
<li>Аромат сладкой выпечки и бисквита</li>
<li>Во вкусе ноты сухофруктов, чернослива и жареного фундука</li>
<li>Интенсивный и очень сбалансированный вкус</li>
<li>Отборные зерна специальной обработки </li>
</ul>",187264,в зернах,1 кг,0,,для эспрессо,,,арабика,средняя,Бразилия
https://cdn.entero.ru/mp@2x/31/74/31747e90014df68f42c6a34d0a4c8119.jpg,"Кофе свежеобжаренный Alta Roma ROSSO (арабика, робуста, в зернах, 1 кг)","Кофе свежеобжаренный Alta Roma ROSSO (арабика, робуста, в зернах, 1 кг)",0,RUB,Нет,,Кофеварки и кофемашины,Кофе,https://entero.ru/item/147497,"<p>Зерновой кофе <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/147497""><b class=""b"">Alta Roma ROSSO </b></a>предназначен для приготовления эспрессо и использования в молочных коктейлях большой емкости на предприятиях общественного питания и торговли, в частных домах и квартирах. Кофе обладает плотной тягучей пенкой крема, ярким ароматом и послевкусием горького шоколада.</p>

<p>Цена указана за 1 шт.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Вид кофе: 20% арабика, 80% робуста</li>
<li>Пакет с дегазирующим клапаном</li>
<li>Срок хранения: 18 месяца</li>
</ul>",147497,в зернах,1 кг,0,,для эспрессо,купаж,6 шт.,"арабика, робуста",темная,
https://cdn.entero.ru/mp@2x/41/5a/415a7a313a8dc68074a3e3c20b08d1b7.jpg,"Кофе свежеобжаренный Alta Roma VERDE (арабика, робуста, в зернах, 1 кг)","Кофе свежеобжаренный Alta Roma VERDE (арабика, робуста, в зернах, 1 кг)",0,RUB,Нет,,Кофеварки и кофемашины,Кофе,https://entero.ru/item/147494,"<p>Зерновой кофе <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/147494""><b class=""b"">Alta Roma VERDE </b></a>предназначен для приготовления классического итальянского эспрессо на предприятиях общественного питания и торговли, в частных домах и квартирах. Смесь обладает ярким ароматом, плотной устойчивой пенкой и вкусом с превалирующей горчинкой. </p>

<p>Цена указана за 1 шт.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Вид кофе: 70% арабика, 30% робуста</li>
<li>Пакет с дегазирующим клапаном</li>
<li>Срок хранения: 24 месяца</li>
</ul>",147494,в зернах,1 кг,0,,для эспрессо,купаж,6 шт.,"арабика, робуста",темная,
