Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,URL,Описание,Код товара,Ширина,Глубина,Высота,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Назначение,Колеса,Максимальная нагрузка,Количество полок,Количество ящиков
https://cdn.entero.ru/mp@2x/f3/2f/f32fe6fd4be3ef4cffe51db58b077149.jpg;https://cdn.entero.ru/mp@2x/b7/21/b7219b964993be5aa63bda5357aaaae0.jpg,Тумба инструментальная ПРОМЕТ WD-1,Profi WD-1 S30299020146,10500,RUB,Да,,Промышленная мебель,Тумбы и тележки,https://entero.ru/item/222937,"<p>Инструментальная тумба <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/222937""><b class=""b"">ПРОМЕТ WD-1 </b></a>предназначена для хранения универсального инструмента и оперативного передвижения его на различные участки работы на производственных участках, станциях технического обслуживания, в мастерских и гаражах. Модель оснащена 2 съемными полками, дверью с возможностью смены стороны открывания и ключевым замком ""Практик"". Тумба выполнена из высококачественной стали с порошковым покрытием.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная нагрузка на полку: 30 кг</li>
<li>Цвет:</li>
<li>
<ul>
<li>Корпус: серый полуматовый (RAL 7038)</li>
<li>Дверь: синий (RAL 5002)​</li>
</ul>
</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! Цвет изделия может отличаться от представленного на фото.</span></em></p>",222937,460 мм,640 мм,840 мм,0,,,22 кг,,Россия,для инструментов,,,2,
https://cdn.entero.ru/mp@2x/c9/b7/c9b70e2a1ab02d74b738036b9cc8e424.jpg,Тумба инструментальная ПРОМЕТ WD-5,Profi WD-5 S30299020546,20500,RUB,Да,,Промышленная мебель,Тумбы и тележки,https://entero.ru/item/222943,"<p>Инструментальная тумба <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/222943""><b class=""b"">ПРОМЕТ WD-5 </b></a>предназначена для хранения универсального инструмента и оперативного передвижения его на различные участки работы на производственных участках, станциях технического обслуживания, в мастерских и гаражах. Модель оснащена 5 выдвижными ящиками, телескопическими направляющими и ключевым замком ""Практик"". Тумба выполнена из высококачественной стали с порошковым покрытием.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная нагрузка: на ящик: 30 кг</li>
<li>Цвет:</li>
<li>
<ul>
<li>Корпус: серый полуматовый (RAL 7038)</li>
<li>Лицевые панели ящиков: синий (RAL 5002)​</li>
</ul>
</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! Цвет изделия может отличаться от представленного на фото.</span></em></p>",222943,460 мм,640 мм,840 мм,0,,21579,38 кг,,Россия,для инструментов,,,,5
https://cdn.entero.ru/mp@2x/b7/22/b722b75644a38b66faa0d27e3b2198cb.jpg,Тумба ДВК SMART 4M с лотком,КГ056291,36437,RUB,Нет,,Промышленная мебель,Тумбы и тележки,https://entero.ru/item/214883,"<p>Тумба <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/214883""><b class=""b"">ДВК SMART 4M </b></a>предназначена для хранения инструментов и оснастки на производственных участках, станциях технического обслуживания, в мастерских и гаражах. Модель оснащена 4 выдвижными ящиками на телескопических направляющих, лотком с ковриком, удобной ручкой для перемещения и поворотными колесами. Тумба изготовлена из металла, колеса - из полиурентана. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Дверцы и ящики оснащены центральными замками</li>
<li>Внутренние стенки дверцы имеют универсальную перфорацию </li>
<li>Ящики имеют телескопические направляющие полного выдвижения</li>
<li>Единый цилиндрический замок секретностью 2000 комбинаций </li>
<li>Стильный дизайн и функциональность</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная нагрузка:
<ul>
<li>На корпус: 200 кг </li>
<li>На полку: 50 кг </li>
<li>На ящик: 20 кг </li>
</ul>
</li>
<li>Диаметр колес: 100 мм</li>
<li>Перфорация: квадрат 10 мм c шагом 38х38 мм / круг 7 мм с шагом 25х38 мм </li>
<li>Цвет: RAL 7016 / RAL 7035</li>
</ul>",214883,740 мм,500 мм,815 мм,0,https://entero.ru/manuals/254085/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%94%D0%92%D0%9A%20SMART%204M%20%D1%81%20%D0%BB%D0%BE%D1%82%D0%BA%D0%BE%D0%BC.pdf;https://entero.ru/manuals/254086/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,47.82 кг,,Россия,для инструментов,Да,200 кг,,4
https://cdn.entero.ru/mp@2x/b6/96/b696d72e7c0989ffd979da431ccb70cd.jpg;https://cdn.entero.ru/mp@2x/05/dd/05ddbb40475c6258f1cf8f7f14264dc4.jpg,Тележка грузовая ДиКом ВЛТ-031 (7038/7016),12.0131-103,37100,RUB,Нет,,Промышленная мебель,Тумбы и тележки,https://entero.ru/item/304002,"<p>Грузовая тележка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/304002""><b class=""b"">ДиКом ВЛТ-030 </b></a>предназначена для перемещения оснастки, оборудования и инструментов в промышленных и торговых помещениях. Модель оснащена 5 полками с отбортовкой и 4 поворотными колесами, 2 из которых с тормозом. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Окрашена эпоксидной порошковой краской </li>
<li>Сборно-разборная конструкция </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная нагрузка на полку: 100 кг</li>
<li>
<p>Шаг регулировки полок по высоте: 50 мм</p>
</li>
</ul>",304002,930 мм,471 мм,1863 мм,0,https://entero.ru/manuals/364260/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%94%D0%B8%D0%9A%D0%BE%D0%BC%20%D0%92%D0%9B%D0%A2-031.pdf;https://entero.ru/manuals/364259/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%94%D0%B8%D0%9A%D0%BE%D0%BC%202021.pdf,39468,33.6 кг,,Россия,для инструментов,Да,500 кг,5,
https://cdn.entero.ru/mp@2x/57/f8/57f88a02964183aa9c0466e2c1d67178.jpg,Тумба инструментальная ДиКом ВЛ-015 (7038/7016),Тумба инструментальная ДиКом ВЛ-015 (7038/7016),37800,RUB,Нет,,Промышленная мебель,Тумбы и тележки,https://entero.ru/item/223994,"<p>Инструментальная тумба <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/223994""><b class=""b"">ДиКом ВЛ-015 </b></a>предназначена для хранения инструментов, материалов и оснастки в мастерских, гаражах, профессиональных автосервисах и помещениях производственного назначения. Модель оснащена 5 выдвижными ящиками на телескопических направляющих. Тумба изготовлена из стали толщиной 0,8 мм.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Замок Euro-Locks с надежностью 10000 комбинаций </li>
<li>Эпоксидная порошковая краска Teknos </li>
<li>Надежное хранение и быстрый доступ к инструменту </li>
<li>Гладкая матовая поверхность </li>
<li>Сварная конструкция корпуса </li>
<li>Антикоррозийная обработка </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная нагрузка на ящик: 60 кг </li>
<li>Размер ящиков:
<ul>
<li>100х459х459 мм - 4 шт.</li>
<li>300х459х459 мм - 1 шт. </li>
</ul>
</li>
<li>Габариты в упаковке: 815х585х615 мм </li>
<li>
<p>​Цвет: серый (RAL 7038) / синий (RAL 5012) </p>
</li>
</ul>",223994,565 мм,600 мм,800 мм,0,https://entero.ru/manuals/270402/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%94%D0%B8%D0%9A%D0%BE%D0%BC%20%D0%92%D0%9B-015.pdf;https://entero.ru/manuals/270401/%D0%93%D0%9E%D0%A1%D0%A2%20%D0%BD%D0%B0%20%D0%B8%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B5%20%D1%82%D1%83%D0%BC%D0%B1%D1%8B.pdf;https://entero.ru/manuals/270399/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%94%D0%B8%D0%9A%D0%BE%D0%BC%202021.pdf,,49.8 кг,,Россия,для инструментов,,1500 кг,,5
https://cdn.entero.ru/mp@2x/f5/6a/f56a811d098849f431db3758320a9095.jpg,Тележка ДиКом TS-800.01 серая,Тележка ДиКом TS-800.01 серая,14766,RUB,Нет,,Промышленная мебель,Тумбы и тележки,https://entero.ru/item/226002,"<p>Инструментальная тележка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/226002""><b class=""b"">ДиКом TS-800.01 </b></a>предназначена для перемещения оснастки, оборудования и инструментов в промышленных и торговых помещениях, автосервисах, автомастерских и гаражах. Модель оснащена 3 полками, лотком с резиновым ковриком и 4 поворотными колесами, 2 из которых с тормозом. Ручка изготовлена из анодированного алюминия.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Средняя полка регулируется по высоте</li>
<li>Эргономичная боковая ручка </li>
<li>Окрашивание порошковой эпоксидной краской</li>
<li>Устойчивость к механическим воздействиям и агрессивным жидкостям</li>
<li>Гладкое покрытие </li>
<li>Сварная конструкция </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная нагрузка на полку: 50 кг</li>
<li>Шаг регулировки полки: 50 мм </li>
<li>Диаметр колес: 125 мм</li>
<li>Цвет: антрацитово-серый RAL 7016, гагатовый серый RAL 7038</li>
</ul>",226002,678 мм,453 мм,817 мм,0,https://entero.ru/manuals/272634/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%94%D0%B8%D0%9A%D0%BE%D0%BC%20TS-800.01.pdf;https://entero.ru/manuals/272633/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%94%D0%B8%D0%9A%D0%BE%D0%BC%20TS-800.01.pdf;https://entero.ru/manuals/272632/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%94%D0%B8%D0%9A%D0%BE%D0%BC%202021.pdf,,17.7 кг,,Россия,для инструментов,Да,150 кг,3,
https://cdn.entero.ru/mp@2x/b6/1f/b61f4ace1bd52b7c86beca3aa52abdae.jpg,Тележка ДиКом TS-800.05 серая,Тележка ДиКом TS-800.05 серая,37800,RUB,Нет,,Промышленная мебель,Тумбы и тележки,https://entero.ru/item/226019,"<p>Инструментальная тележка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/226019""><b class=""b"">ДиКом TS-800.05 </b></a>предназначена для перемещения оснастки, оборудования и инструментов в промышленных и торговых помещениях, автосервисах, автомастерских и гаражах. Модель оснащена 5 выдвижными ящиками, лотком с противоскользящим ковриком и 4 поворотными колесами, 2 из которых с тормозом. Ручка изготовлена из анодированного алюминия.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Общий центральный замок</li>
<li>Эргономичная боковая ручка </li>
<li>Окрашивание порошковой эпоксидной краской</li>
<li>Устойчивость к механическим воздействиям и агрессивным жидкостям</li>
<li>Гладкое покрытие </li>
<li>Сварная конструкция </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная нагрузка на ящик: 50 кг</li>
<li>Диаметр колес: 125 мм</li>
<li>Полезный размер ящика: 570х400х55/130 мм</li>
<li>Цвет: антрацитово-серый RAL 7016, агатовый серый RAL 7038</li>
</ul>",226019,675 мм,450 мм,816 мм,0,https://entero.ru/manuals/272671/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%94%D0%B8%D0%9A%D0%BE%D0%BC%20TS-800.05.pdf;https://entero.ru/manuals/272670/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%94%D0%B8%D0%9A%D0%BE%D0%BC%202021.pdf,,49.8 кг,,Россия,для инструментов,Да,300 кг,,5
https://cdn.entero.ru/mp@2x/67/8a/678a79dc72dfd85f494408d3090c8518.jpg,Тумба инструментальная ДиКом ВЛ-К-003 (7038/7016),Тумба инструментальная ДиКом ВЛ-К-003 (7038/7016),16284,RUB,Нет,,Промышленная мебель,Тумбы и тележки,https://entero.ru/item/307695,"<p>Инструментальная тумба <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/307695""><b class=""b"">ДиКом ВЛ-К-003 (7038/7016) </b></a>предназначена для хранения инструментов, материалов и оснастки в мастерских, гаражах, профессиональных автосервисах и помещениях производственного назначения. Модель оснащена 3 выдвижными ящиками на шариковых направляющих. Тумба изготовлена из металла. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Замок Euro-Locks с надежностью 10000 комбинаций </li>
<li>Эпоксидная порошковая краска Teknos </li>
<li>Надежное хранение и быстрый доступ к инструменту </li>
<li>Сварная конструкция корпуса </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная нагрузка на ящик: 30 кг </li>
<li>
<p>​Цвет: серый (RAL 7038/7016)</p>
</li>
</ul>",307695,412 мм,600 мм,400 мм,0,https://entero.ru/manuals/368863/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%94%D0%B8%D0%9A%D0%BE%D0%BC%20%D0%92%D0%9B-%D0%9A-003.pdf;https://entero.ru/manuals/368864/%D0%93%D0%9E%D0%A1%D0%A2%20%D0%BD%D0%B0%20%D0%B8%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B5%20%D1%82%D1%83%D0%BC%D0%B1%D1%8B.pdf;https://entero.ru/manuals/368862/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%94%D0%B8%D0%9A%D0%BE%D0%BC%202021.pdf,17141,22.25 кг,,Россия,для инструментов,,500 кг,,3
https://cdn.entero.ru/mp@2x/f5/70/f570d219faf2bf0fb096dd3e89afaba6.jpg;https://cdn.entero.ru/mp@2x/c0/b2/c0b2826db10f41c857d3e20b63176013.jpg,Тумба инструментальная ПРОМЕТ Практик BFC-66/3,TK-3(BFC-66/3) S25699020002,19000,RUB,Нет,,Промышленная мебель,Тумбы и тележки,https://entero.ru/item/222919,"<p>Инструментальная тумба <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/222919""><b class=""b"">ПРОМЕТ Практик BFC-66/3 </b></a>предназначена для хранения универсального инструмента и оперативного передвижения его на различные участки работы на производственных участках, станциях технического обслуживания, в мастерских и гаражах. Модель оснащена 3 выдвижными ящиками и колесами. Тумба выполнена из высококачественной стали с порошковым покрытием.</p>

<p>В комплект поставки входит центральный ключевой замок ""Практик"".</p>

<p><b>Особенности:</b></p>

<ul>
<li>Телескопические направляющие: плавный ход ящиков</li>
<li>Система полного выдвижения ящиков</li>
<li>Поставляется в собранном виде</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная нагрузка на ящики: 10 кг</li>
<li>Цвет: серый полуматовый (RAL 7038)</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Окраска передних панелей в другие цвета из палитры производителя</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! Цвет изделия может отличаться от представленного на фото.</span></em></p>",222919,480 мм,490 мм,660 мм,0,,20213,21 кг,,Россия,для инструментов,Да,,,3
https://cdn.entero.ru/mp@2x/5b/89/5b892c4655db312597db6247713d25c5.jpg,Тележка ДВК COMTEX №1,КГ029265,22827,RUB,Нет,,Промышленная мебель,Тумбы и тележки,https://entero.ru/item/215259,"<p>Тележка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/215259""><b class=""b"">ДВК COMTEX №1 </b></a>предназначена для организации рабочих мест с оргтехникой и компьютерами в офисах, серверных помещениях, производственных участках с электроникой и диагностических центрах. Модель оснащена колесами и удобной ручкой для перемещения. Колеса изготовлены из полиуретана.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Полка 480х520 мм COMTEX - 1 шт. </li>
<li>Тележка COMTEX - 1 шт.</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Телескопическая конструкция </li>
<li>Перфорация для крепления держателей и крючков </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная нагрузка на полку: 30 кг</li>
<li>Шаг установки полок: 25 мм </li>
<li>Диаметр колес: 125 мм </li>
<li>Цвет: светло серый (RAL 7035) / темно-серый ( RAL 7046)</li>
</ul>",215259,633 мм,555 мм,842 мм,0,https://entero.ru/manuals/254928/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%94%D0%92%D0%9A%20COMTEX%20%E2%84%961.pdf;https://entero.ru/manuals/254929/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BF%D0%BE%20%D1%81%D0%B1%D0%BE%D1%80%D0%BA%D0%B5%20%D0%94%D0%92%D0%9A%20COMTEX%20%E2%84%961.pdf;https://entero.ru/manuals/254930/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,25.85 кг,,Россия,компьютерная,Да,400 кг,1,
https://cdn.entero.ru/mp@2x/b4/d3/b4d33af71121977c368e199c0f8ccc4c.jpg;https://cdn.entero.ru/mp@2x/8c/3d/8c3dc2f3b6c9e35f4a1a12cd5de075e8.jpg;https://cdn.entero.ru/mp@2x/2b/37/2b37e688a6ae731b2093c3e05c18ac4e.jpg,Стол-тележка ДВК COMTEX №1,КГ029288,28616,RUB,Нет,,Промышленная мебель,Тумбы и тележки,https://entero.ru/item/213257,"<p>Стол-тележка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/213257"">ДВК COMTEX №1</a> </b>предназначен для обустройства рабочих мест оснащенных компьютерами и оргтехникой в офисах, серверных, производственных участках, станций технического обслуживания и диагностики автомобилей. Тележка оснащена телескопическими стойками, столешницей и 3 полками, 4 полиуретановыми колесами для перемещения.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Полка 480х520 COMTEX </li>
<li>Полка выдвижная 450х570 COMTEX </li>
<li>Тележка COMTEX _-1шт</li>
<li>Кронштейны для RACK модуля </li>
<li>Карман для документов А4 </li>
<li>Кронштейн для монитора<br>
</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Телескопическая конструкция стоек тележки</li>
<li>Регулировка высоты полки</li>
<li>Полка для клавиатуры и мыши выдвигается</li>
<li>Кронштейн с перфорацией для крепления монитора на крыше тележки позволяет менять угол наклона монитора.</li>
<li>Кронштейны для RACK модуля позволяют устанавливать серверное оборудования шириной 19 "" до 3U (юнитов)</li>
<li>Стойки тележки с перфорацией для крепления различных держателей и крючков и фиксации кабелей при помощи хомутов</li>
<li>Удобная ручка для перемещения тележки устанавливается с обеих сторон</li>
<li> 2-неповоротных, 1-поворотное, 1-поворотное колесо с тормозом</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Длина стоек: от 9 U до 18 U (юнитов) (от 442 до 842 мм) с шагом в 1U (юнит) = 44,45 мм.</li>
<li>Шаг изменения высоты полки: 25 мм.</li>
<li>Нагрузка на полку: 30 кг.</li>
<li>Нагрузка на ящик: до 30 кг.</li>
<li>Длина ручки: 400 мм</li>
<li>Диаметр колес: 125 мм.</li>
<li>Цвет: RAL 7035,RAL 7046</li>
</ul>

<p><b>Дополнительные опции (приобретаются дополнительно):</b></p>

<ul>
<li>Полка выдвижная ДВК <a href=""https://entero.ru/item/213310"">COMTEX 450х570</a></li>
<li>Карман для документов ДВК <a href=""https://entero.ru/item/213306"">А4</a></li>
</ul>

<p> </p>

<p> </p>",213257,663 мм,555 мм,1468 мм,0,https://entero.ru/manuals/250926/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BF%D0%BE%20%D1%81%D0%B1%D0%BE%D1%80%D0%BA%D0%B5%20%D0%94%D0%92%D0%9A%20COMTEX%20%E2%84%961.pdf;https://entero.ru/manuals/250927/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%94%D0%92%D0%9A%20COMTEX%20%E2%84%961.pdf;https://entero.ru/manuals/250928/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D0%BD%D0%B0%20%D0%94%D0%92%D0%9A%20COMTEX%20%E2%84%961.pdf,30443,30.25 кг,,Россия,компьютерная,Да,400 кг,3,
https://cdn.entero.ru/mp@2x/82/5d/825d747a09b8cd84e6309ea1db5a615d.jpg,Тележка ДВК COMTEX №5,КГ029269,30039,RUB,Нет,,Промышленная мебель,Тумбы и тележки,https://entero.ru/item/215288,"<p>Тележка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/215288""><b class=""b"">ДВК COMTEX №5 </b></a>предназначена для организации рабочих мест с оргтехникой и компьютерами в офисах, серверных помещениях, производственных участках с электроникой и диагностических центрах. Модель оснащена вывдвижной полкой, колесами и удобной ручкой для перемещения. Колеса изготовлены из полиуретана.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Тележка COMTEX - 1 шт.</li>
<li>Полка 480х520 мм COMTEX - 2 шт. </li>
<li>Полка выдвижная 450х570 мм COMTEX - 1 шт. </li>
<li>Кронштейн для монитора-1 - 1 шт. </li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Телескопическая конструкция </li>
<li>Перфорация для крепления держателей и крючков </li>
<li>Ручка может устанавливаться с обеих сторон</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная нагрузка на полку / ящик: 30 кг</li>
<li>Диаметр колес: 125 мм </li>
<li>Длина ручки: 400 мм </li>
<li>Шаг установки полок: 25 мм </li>
<li>Цвет: светло серый (RAL 7035) / темно-серый ( RAL 7046)</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель с карманом для документов.</span></em></p>",215288,633 мм,555 мм,1468 мм,0,https://entero.ru/manuals/254979/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%94%D0%92%D0%9A%20COMTEX%20%E2%84%965.pdf;https://entero.ru/manuals/254980/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BF%D0%BE%20%D1%81%D0%B1%D0%BE%D1%80%D0%BA%D0%B5%20%D0%94%D0%92%D0%9A%20COMTEX%20%E2%84%965.pdf;https://entero.ru/manuals/254981/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,34.55 кг,,Россия,компьютерная,Да,400 кг,2,
https://cdn.entero.ru/mp@2x/f1/c5/f1c5cee5e1a9b0f866ccbb4ce60e66bf.jpg,Тележка ДВК PROFI №3-3,КГ026782,30409,RUB,Нет,,Промышленная мебель,Тумбы и тележки,https://entero.ru/item/215601,"<p>Тележка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/215601""><b class=""b"">ДВК PROFI №3-3 </b></a>предназначена для хранения универсальных инструментов и оснастки, а также их оперативного передвижения на различные участки работы на производственных участках, станциях технического обслуживания, в автомастерских и гаражах. Модель оснащена внутренней полкой, перфорированной стенкой, удобной ручкой для перемещения тележки и поворотными колесами.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Тележка PROFI №1 - 1 шт.</li>
<li>Cтойки перф 710х30 мм (к-т) -1 шт.</li>
<li>Стенка перфорированная 420х640 мм - 1 шт.</li>
<li>Полка навесная 640х200 мм - 1 шт. </li>
<li>Ограничители PROFI (к-т) - 1 шт.</li>
<li>Держатель ключей (с комплектом крепежа) - 1 шт.</li>
<li>Держатель отвёрток (с комплектом крепежа) - 1 шт. </li>
</ul>

<p><b>Особенности:</b> </p>

<ul>
<li>Сборно-разборная конструкция </li>
<li>Ниши для хранения инструментов и различных емкостей</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная нагрузка на полку: 50 кг</li>
<li>Шаг регулировки полок: 50 мм </li>
<li>Диаметр колес: 125 мм </li>
<li>Цвет: синий (RAL 5005) / светло-серый (RAL 7035)</li>
</ul>",215601,795 мм,515 мм,1610 мм,0,https://entero.ru/manuals/255154/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%94%D0%92%D0%9A%20PROFI%20%E2%84%963-3.pdf;https://entero.ru/manuals/255155/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BF%D0%BE%20%D1%81%D0%B1%D0%BE%D1%80%D0%BA%D0%B5%20%D0%94%D0%92%D0%9A%20PROFI%20%E2%84%963-3.pdf;https://entero.ru/manuals/255153/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,31676,33.79 кг,,Россия,для инструментов,Да,400 кг,1,
