Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Управление,Материал,Цвет,Уровень шума,Время сушки,Температура воздушного потока,Скорость воздушного потока,Антивандальная защита,Фильтр
https://cdn.entero.ru/mp@2x/6a/30/6a301a809b48a5fa90ed87162ccc1527.jpg;https://cdn.entero.ru/mp@2x/bb/d1/bbd135bab8861edfebc8fe3b4465102e.jpg;https://cdn.entero.ru/mp@2x/95/aa/95aa4ad5e4e31df3f5a00e17c581f277.jpg;https://cdn.entero.ru/mp@2x/de/dc/dedcb897a49c8a9e72e002e57f75e43c.jpg;https://cdn.entero.ru/mp@2x/d5/b8/d5b8732fc8b69ab4d11a7c3ab1f4faf1.jpg,Сушилка для рук VIATTO VA-HD1800,Сушилка для рук VIATTO VA-HD1800,4053,RUB,Да,VIATTO,Профоборудование,Оборудование для общественных санузлов,Сушилки для рук,https://entero.ru/item/200607,"<p>Сушилка для рук<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/200607"">VIATTO VA-HD1800</a></b> используется в туалетных комнатах торговых центров, гостиниц, аэропортов, предприятий общепита и других местах массового пребывания для бесконтактной гигиеничной сушки. Модель оснащена защитной решеткой, выключателем и кабелем питания. Корпус выполнен из ударопрочного белого АБС-пластика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Быстрая, эффективная и мягкая сушка </li>
<li>Настенный монтаж </li>
<li>Безопасность эксплуатации</li>
<li>Эргономичный дизайн</li>
</ul>",200607,традиционный,220 В,1.8 кВт,240 мм,240 мм,230 мм,2.6 кг,1,278x265x255 мм,577,https://entero.ru/manuals/408465/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20VA-HD1800.pdf;https://entero.ru/manuals/408466/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/463392/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20VIATTO%20VA-HD1800.pdf,,,2.4 кг,,Китай,автоматическое (сенсорное),пластик,белый,,5 сек.,60 °С,15 м/сек.,,
https://cdn.entero.ru/mp@2x/62/8f/628fd246f78b8ca5b6839184898e0be9.jpg,Сушилка для рук Puff 8820 белый,Puff-8820 белый 4660013860488,5709,RUB,Да,,Профоборудование,Оборудование для общественных санузлов,Сушилки для рук,https://entero.ru/item/169438,"<p>Сушилка для рук<a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/169438""><b class=""b""> Puff-8820 </b></a>используется в гостиницах, отелях, бассейнах, фитнес-клубах и спа-центрах. Прибор оснащен автоматическим включением и выключением и 1 режимом сушки по скорости и по температуре. Корпус выполнен из ABS-пластика.</p>

<p>В комплект поставки входит крепежная планка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Подвесная система</li>
<li>Стильный дизайн</li>
<li>Низкий уровень шума</li>
<li>Рассчитан на частое использование</li>
<li>Класс влагозащищенности IPX1</li>
<li>Класс энергоэффективности В</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Область срабатывания сенсора: от 50 до 200 мм</li>
<li>Габариты в упаковке: 243x280x279 мм</li>
</ul>",169438,традиционный,220 В,2 кВт,240 мм,230 мм,240 мм,,,,0,https://entero.ru/manuals/195372/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%82%D0%B0%D0%BC%D0%BE%D0%B6%D0%B5%D0%BD%D0%BD%D0%BE%D0%B3%D0%BE%20%D1%81%D0%BE%D1%8E%D0%B7%D0%B0.pdf;https://entero.ru/manuals/195373/%D0%A1%D1%82%D1%80%D0%B0%D1%85%D0%BE%D0%B2%D0%BE%D0%B9%20%D0%BF%D0%BE%D0%BB%D0%B8%D1%81.pdf;https://entero.ru/manuals/195379/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Puff-8820%20%D0%B1%D0%B5%D0%BB%D1%8B%D0%B9.pdf,7929,,2.4 кг,Россия,Россия,автоматическое (сенсорное),пластик,белый,55 дБ,15 сек.,от 50 до 65 °С,16 м/сек.,,
https://cdn.entero.ru/mp@2x/67/74/6774f428891f8c6189a65d4258850df8.jpg,Сушилка для рук Puff 8888 хром,Puff-8888 хром 1401.300,16155,RUB,Да,,Профоборудование,Оборудование для общественных санузлов,Сушилки для рук,https://entero.ru/item/169972,"<p>Сушилка для рук<a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/169972""><b class=""b""> Puff-8888 </b></a>используется в гостиницах, отелях, бассейнах, фитнес-клубах и спа-центрах. Прибор оснащен автоматическим включением и выключением и 1 режимом сушки по скорости и температуре. Корпус выполнен из нержавеющей стали 304.</p>

<p>В комплект поставки входит крепежная планка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Ударопрочный корпус</li>
<li>Подвесная система</li>
<li>Стильный дизайн</li>
<li>Высокоскоростной тип</li>
<li>Рассчитан на частое использование</li>
<li>Класс влагозащищенности IPX4</li>
<li>Класс энергоэффективности АА+</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Область срабатывания сенсора: от 50 до 200 мм</li>
<li>Габариты в упаковке: 194x345x343 мм</li>
</ul>",169972,традиционный,220 В,1.8 кВт,295 мм,171 мм,320 мм,,,,0,https://entero.ru/manuals/195878/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%82%D0%B0%D0%BC%D0%BE%D0%B6%D0%B5%D0%BD%D0%BD%D0%BE%D0%B3%D0%BE%20%D1%81%D0%BE%D1%8E%D0%B7%D0%B0.pdf;https://entero.ru/manuals/195879/%D0%A1%D1%82%D1%80%D0%B0%D1%85%D0%BE%D0%B2%D0%BE%D0%B9%20%D0%BF%D0%BE%D0%BB%D0%B8%D1%81.pdf;https://entero.ru/manuals/195881/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Puff-8888%20%D1%85%D1%80%D0%BE%D0%BC.pdf,,,4.3 кг,Россия,Россия,автоматическое (сенсорное),металл,хром,70 дБ,от 5 до 7 сек.,от 40 до 54 °С,95 м/сек.,Да,
https://cdn.entero.ru/mp@2x/cc/15/cc154c2774247d62bd679ed723cd29b8.jpg,Сушилка для рук Puff 8828W белый,Puff-8828W белый 4660013860631,7491,RUB,Да,,Профоборудование,Оборудование для общественных санузлов,Сушилки для рук,https://entero.ru/item/169459,"<p>Сушилка для рук<a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/169459""><b class=""b""> Puff-8828W </b></a>используется в гостиницах, отелях, бассейнах, фитнес-клубах и спа-центрах. Прибор оснащен автоматическим включением и выключением и 1 режимом сушки по скорости и по температуре. Корпус выполнен из нержавеющей стали 304.</p>

<p>В комплект поставки входит крепежная планка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Ударопрочный корпус </li>
<li>Подвесная система</li>
<li>Стильный дизайн</li>
<li>Низкий уровень шума</li>
<li>Рассчитан на частое использование</li>
<li>Класс влагозащищенности IPX1</li>
<li>Класс энергоэффективности В</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Область срабатывания сенсора: от 50 до 200 мм</li>
<li>Габариты в упаковке: 115x305x314 мм</li>
</ul>",169459,традиционный,220 В,1.5 кВт,265 мм,125 мм,205 мм,,,,0,https://entero.ru/manuals/195413/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%82%D0%B0%D0%BC%D0%BE%D0%B6%D0%B5%D0%BD%D0%BD%D0%BE%D0%B3%D0%BE%20%D1%81%D0%BE%D1%8E%D0%B7%D0%B0.pdf;https://entero.ru/manuals/195414/%D0%A1%D1%82%D1%80%D0%B0%D1%85%D0%BE%D0%B2%D0%BE%D0%B9%20%D0%BF%D0%BE%D0%BB%D0%B8%D1%81.pdf;https://entero.ru/manuals/195417/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Puff-8828W%20%D0%B1%D0%B5%D0%BB%D1%8B%D0%B9.pdf,,,3.2 кг,Россия,Россия,автоматическое (сенсорное),металл,белый,60 дБ,от 10 до 15 сек.,от 40 до 54 °С,16 м/сек.,Да,
https://cdn.entero.ru/mp@2x/b4/b0/b4b0921c178b22d8ef9f175db67ecb7f.jpg;https://cdn.entero.ru/mp@2x/08/11/08118cc7a7e062d8a5419cb3b8ad49ac.jpg;https://cdn.entero.ru/mp@2x/05/72/057284b75fedd40682e6241885780d64.jpg;https://cdn.entero.ru/mp@2x/d1/45/d145f47aaa67473dce9e9636f3c2072a.jpg;https://cdn.entero.ru/mp@2x/81/a7/81a7a39b19c690b49210a88a02cd617c.jpg;https://cdn.entero.ru/mp@2x/f1/d0/f1d0aff9cf7cdfc65d51cfe3d5f07d0a.jpg;https://cdn.entero.ru/mp@2x/db/3e/db3e5897649ccdccf416e41ca0e51cc5.jpg;https://cdn.entero.ru/mp@2x/62/be/62bedc399c6fb797e39775dcab0da4c7.jpg;https://cdn.entero.ru/mp@2x/7e/db/7edb43400e04c24ef34ecb542e256f7c.jpg;https://cdn.entero.ru/mp@2x/02/4d/024de1567480e4261a7260aff93207cf.jpg;https://cdn.entero.ru/mp@2x/d4/33/d433c9f4854678d886a84a2e78489224.jpg;https://cdn.entero.ru/mp@2x/bc/da/bcdae2436ce761256cbd8e43e671b630.jpg;https://cdn.entero.ru/mp@2x/ae/33/ae33612ea529929bb334b448e171c50b.jpg;https://cdn.entero.ru/mp@2x/df/6f/df6faa23604bb7522cb3f46001303b46.jpg,Сушилка для рук Puff 8802,1401.323,13939,RUB,Да,,Профоборудование,Оборудование для общественных санузлов,Сушилки для рук,https://entero.ru/item/237289,"<p>Сушилка для рук<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/237289"">Puff 8802</a></b> используется в туалетных комнатах торговых центров, гостиниц, аэропортов, предприятий общеcтвенного питания и других местах массового пребывания для бесконтактной гигиеничной сушки. Модель оснащена нагревательным элементом, электродвигателем с вентилятором и кабелем питания с вилкой. Корпус выполнен из ударопрочного АБС-пластика белого цвета.</p>

<p>В комплект поставки входят металлическая монтажная планка, набор креплений и инструкция по эксплуатации.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Быстрое бережное высушивание</li>
<li>Инновационный стекловолокнистый фильтр для защиты от мельчайших частиц пыли</li>
<li>Щелевое строение сопла и выступ с наклонными плоскостями в нижней панели для оптимального распределения воздушного потока</li>
<li>Антиблокировочная работа двигателя</li>
<li>Настенный монтаж на скрытых креплениях</li>
<li>Низкий уровень шума</li>
<li>Компактный тонкий корпус для оптимизации пространства</li>
<li>Класс энергоэффективности: A++</li>
<li>Степень защиты оболочки: IPX4</li>
<li>Эргономичный стильный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Дальность срабатывания датчика приближения: от 50 до 200 мм</li>
</ul>",237289,традиционный,220 В,1.2 кВт,233 мм,100 мм,395 мм,,,,0,,14673,,2.3 кг,Россия,,автоматическое (сенсорное),пластик,белый,60 дБ,от 5 до 7 сек.,от 20 до 40 °С,95 м/сек.,,Да
https://cdn.entero.ru/mp@2x/8c/fe/8cfea17aeb573380722d37ac72ec4fb8.jpg,Сушилка для рук Puff 8828 хром,Puff-8828 хром 4660013860679,8280,RUB,Да,,Профоборудование,Оборудование для общественных санузлов,Сушилки для рук,https://entero.ru/item/169458,"<p>Сушилка для рук<a style=""text-decoration:none;cursor:text;"" href=""http://entero.uz/item/169458""><b class=""b""> Puff-8828 </b></a>используется в гостиницах, отелях, бассейнах, фитнес-клубах и спа-центрах. Прибор оснащен автоматическим включением и выключением и 1 режимом сушки по скорости и по температуре. Корпус выполнен из нержавеющей стали 304.</p>

<p>В комплект поставки входит крепежная планка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Ударопрочный корпус </li>
<li>Подвесная система</li>
<li>Стильный дизайн</li>
<li>Низкий уровень шума</li>
<li>Рассчитан на частое использование</li>
<li>Класс влагозащищенности IPX1</li>
<li>Класс энергоэффективности В</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Область срабатывания сенсора: от 50 до 200 мм</li>
<li>Габариты в упаковке: 115x305x314 мм</li>
</ul>",169458,традиционный,220 В,1.5 кВт,265 мм,125 мм,205 мм,,,,0,https://entero.ru/manuals/195409/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%82%D0%B0%D0%BC%D0%BE%D0%B6%D0%B5%D0%BD%D0%BD%D0%BE%D0%B3%D0%BE%20%D1%81%D0%BE%D1%8E%D0%B7%D0%B0.pdf;https://entero.ru/manuals/195410/%D0%A1%D1%82%D1%80%D0%B0%D1%85%D0%BE%D0%B2%D0%BE%D0%B9%20%D0%BF%D0%BE%D0%BB%D0%B8%D1%81.pdf;https://entero.ru/manuals/195412/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Puff-8828%20%D1%85%D1%80%D0%BE%D0%BC.pdf,,,3.2 кг,Россия,Россия,автоматическое (сенсорное),металл,хром,60 дБ,от 10 до 15 сек.,от 40 до 54 °С,16 м/сек.,Да,
https://cdn.entero.ru/mp@2x/27/58/2758d2c1494dbe896631c7b1dc7beb4a.jpg;https://cdn.entero.ru/mp@2x/56/41/56419d9d257ec9d65ba7ab5d3eff04f5.jpg;https://cdn.entero.ru/mp@2x/c8/73/c873f527a538d8a13980fa1ece4717b0.jpg;https://cdn.entero.ru/mp@2x/d6/5d/d65d245789d04e669eace7fb26863fee.jpg;https://cdn.entero.ru/mp@2x/1d/92/1d92a55393b0bd97e194f77307214aa1.jpg;https://cdn.entero.ru/mp@2x/ff/11/ff11ca09f39016f75b8e0deeb141230e.jpg;https://cdn.entero.ru/mp@2x/c4/b2/c4b2b69696fc72ee691fca2ea6ca6ff4.jpg,Сушилка для рук Puff 8840,1401.325,14356,RUB,Да,,Профоборудование,Оборудование для общественных санузлов,Сушилки для рук,https://entero.ru/item/237291,"<p>Сушилка для рук<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/237291"">Puff 8840</a></b> используется в туалетных комнатах торговых центров, гостиниц, аэропортов, предприятий общеcтвенного питания и других местах массового пребывания для бесконтактной гигиеничной сушки. Модель оснащена 2 нагревательными элементами, электродвигателем с вентилятором и кабелем питания с вилкой. Корпус выполнен из ударопрочного АБС-пластика белого цвета.</p>

<p>В комплект поставки входят металлическая монтажная планка, набор креплений и инструкция по эксплуатации.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Функция включения дополнительного нагревательного элемента для увеличения температуры воздушного потока</li>
<li>Быстрое бережное высушивание</li>
<li>Инновационный стекловолокнистый HEPA-фильтр для защиты от мельчайших частиц пыли</li>
<li>Щелевое строение сопла и углубление в нижней панели для оптимального распределения воздушного потока</li>
<li>Антиблокировочная работа двигателя</li>
<li>Настенный монтаж на скрытых креплениях</li>
<li>Низкий уровень шума</li>
<li>Компактный корпус для оптимизации пространства</li>
<li>Класс энергоэффективности: A++</li>
<li>Степень защиты оболочки: IPX4</li>
<li>Эргономичный стильный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Дальность срабатывания датчика приближения: от 50 до 200 мм</li>
</ul>",237291,традиционный,220 В,1.1 кВт,285 мм,180 мм,320 мм,,,,0,,14954,,3.5 кг,Россия,,автоматическое (сенсорное),пластик,белый,60 дБ,от 5 до 7 сек.,от 23 до 65 °С,95 м/сек.,,
https://cdn.entero.ru/mp@2x/68/25/6825b85d798e6f6a1c31d89212108ee0.jpg,Сушилка для рук Puff 8870C New хром,Puff-8870C New хром 4660043742877,42449,RUB,Да,,Профоборудование,Оборудование для общественных санузлов,Сушилки для рук,https://entero.ru/item/169960,"<p>Сушилка для рук<a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/169960""><b class=""b""> Puff-8870C </b></a>используется в гостиницах, отелях, бассейнах, фитнес-клубах и спа-центрах. Прибор оснащен автоматическим включением и выключением и 1 режимом сушки по скорости и температуре. Корпус выполнен из ABS-пластика.</p>

<p>В комплект поставки входит крепежная планка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Функция холодный воздух</li>
<li>Высокая скорость воздушного потока </li>
<li>Подвесная система</li>
<li>Стильный дизайн</li>
<li>Погружной тип</li>
<li>Рассчитан на частое использование</li>
<li>Класс влагозащищенности IPX4</li>
<li>Класс энергоэффективности А+</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Область срабатывания сенсора: от 50 до 200 мм</li>
<li>Габариты в упаковке: 146x710x712 мм</li>
</ul>",169960,погружной,220 В,1.8 кВт,190 мм,300 мм,650 мм,,,,0,https://entero.ru/manuals/195850/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%82%D0%B0%D0%BC%D0%BE%D0%B6%D0%B5%D0%BD%D0%BD%D0%BE%D0%B3%D0%BE%20%D1%81%D0%BE%D1%8E%D0%B7%D0%B0.pdf;https://entero.ru/manuals/195851/%D0%A1%D1%82%D1%80%D0%B0%D1%85%D0%BE%D0%B2%D0%BE%D0%B9%20%D0%BF%D0%BE%D0%BB%D0%B8%D1%81.pdf,,,8.2 кг,Россия,Россия,автоматическое (сенсорное),,хром,78 дБ,от 5 до 7 сек.,от 23 до 65 °С,95 м/сек.,,
https://cdn.entero.ru/mp@2x/53/65/5365d52e52f9c4ed0f91f76d7eb391f3.jpg;https://cdn.entero.ru/mp@2x/6c/ad/6cad9a26d25269f89bcfbe37c74b1bbb.jpg,Сушилка для рук ROAL M-688,Сушилка для рук ROAL M-688,3859,RUB,Да,ROAL,Профоборудование,Оборудование для общественных санузлов,Сушилки для рук,https://entero.ru/item/306642,"<p>Сушилка для рук <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/306642"">ROAL M-688</a></b> используется в туалетных комнатах кафе, баров, ресторанов, торговых центров, офисов и других местах общего пользования для быстрой сушки рук. Модель оснащена функцией автоматического выключения и защитой от перегрева.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температура срабатывания защитного отключения: 105 °С</li>
</ul>",306642,традиционный,220 В,2 кВт,240 мм,200 мм,200 мм,,,,0,https://entero.ru/manuals/367418/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ROAL%20M-688.pdf,4764,,,,Китай,автоматическое (сенсорное),пластик,белый,,60 сек.,,16 м/сек.,,
https://cdn.entero.ru/mp@2x/d1/dd/d1ddbb7972fe481c6a7e905d88a4039d.jpg;https://cdn.entero.ru/mp@2x/da/58/da58c47636135f557e147808d06f14d2.jpg;https://cdn.entero.ru/mp@2x/72/70/727084ad4624ff7d8084274a847dd28e.jpg;https://cdn.entero.ru/mp@2x/fb/21/fb21490f5e6d86319cbfdffb37ac165f.jpg;https://cdn.entero.ru/mp@2x/98/da/98da013c6aea6a6d64b952d45539a2fa.jpg;https://cdn.entero.ru/mp@2x/e1/3b/e13b978a63488045f09fac76a6c9bfa9.jpg;https://cdn.entero.ru/mp@2x/0d/56/0d56e05fc40e2c08d8bb8a4d430a218a.jpg;https://cdn.entero.ru/mp@2x/a2/54/a254f934335d39802beda34d2aee6191.jpg,Сушилка для рук MEYVEL MH6-1200S1 серебряная,Сушилка для рук MEYVEL MH6-1200S1 серебряная,9419,RUB,Да,,Профоборудование,Оборудование для общественных санузлов,Сушилки для рук,https://entero.ru/item/291441,"<p>Сушилка для рук<a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/291441""><b class=""b""> MEYVEL MH6-1200S1</b></a> используется в гостиницах, отелях, бассейнах, фитнес-клубах и спа-центрах с высокой проходимостью. Прибор оснащен цельной металлической крышкой без сварочных швов, HEPA-фильтром и системой автоматического включения и выключения. Корпус выполнен из нержавеющей стали серебряного цвета.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Полностью бесконтактный процесс сушки обеспечивает гигиеничность использования</li>
<li>Встроенный предохранитель отключает нагревательный элемент в случае непрерывной работы более 60 секунд и защищает прибор от перегрева</li>
<li>Высокая скорость работы</li>
<li>Подвесная система</li>
<li>Гладкий элегантный дизайн</li>
<li>Класс влагозащищенности IPX1</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Частота: от 50 до 60 Гц</li>
<li>Мощность:
<ul>
<li>Вентилятор: 0,65 кВт</li>
<li>Двигатель: 0,55 кВт</li>
</ul>
</li>
<li>Расход воздуха: 103 м<sup>3</sup>/ч</li>
<li>Максимальная скорость работы двигателя: 31000 об./мин.</li>
<li>Минимальная высота установки: 300 мм</li>
<li>Минимальное расстояние от перпендикулярной стены при установке: до 100 мм</li>
</ul>

<p><b>Опции (заказываются отдельно:</b></p>

<ul>
<li>Фильтр <a href=""https://entero.ru/item/359590"">MH6-1200S1-White-HEPA-filter</a></li>
</ul>",291441,традиционный,220 В,1.2 кВт,123 мм,213 мм,265 мм,3 кг,1,257x213x356 мм,0,https://entero.ru/manuals/354378/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20MEYVEL%20MH6-1200S1%20%D1%81%D0%B5%D1%80%D0%B5%D0%B1%D1%80%D1%8F%D0%BD%D0%B0%D1%8F.pdf;https://entero.ru/manuals/527901/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,2.65 кг,Италия,Китай,автоматическое (сенсорное),сталь,серый,75 дБ,от 10 до 12 сек.,55 °С,110 м/сек.,Да,Да
https://cdn.entero.ru/mp@2x/ca/05/ca0572f7c076a0e2e247f47343a48b68.jpg,Сушилка для рук Puff 8851S хром,Puff-8851S 1401.304,13883,RUB,Да,,Профоборудование,Оборудование для общественных санузлов,Сушилки для рук,https://entero.ru/item/169486,"<p>Сушилка для рук<a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/169486""><b class=""b""> Puff-8851S </b></a>используется в гостиницах, отелях, бассейнах, фитнес-клубах и спа-центрах. Прибор оснащен автоматическим включением и выключением и 1 режимом сушки по скорости и по температуре. Корпус выполнен из нержавеющей стали 304.</p>

<p>В комплект поставки входит крепежная планка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Ударопрочный корпус </li>
<li>Подвесная система</li>
<li>Стильный дизайн</li>
<li>Высокоскоростной тип</li>
<li>Рассчитан на частое использование</li>
<li>Класс влагозащищенности IPX1</li>
<li>Класс энергоэффективности А+</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Область срабатывания сенсора: от 50 до 200 мм</li>
<li>Габариты в упаковке: 235x285x284 мм</li>
</ul>",169486,традиционный,220 В,2.1 кВт,245 мм,207 мм,263 мм,,,,0,https://entero.ru/manuals/195457/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%82%D0%B0%D0%BC%D0%BE%D0%B6%D0%B5%D0%BD%D0%BD%D0%BE%D0%B3%D0%BE%20%D1%81%D0%BE%D1%8E%D0%B7%D0%B0.pdf;https://entero.ru/manuals/195458/%D0%A1%D1%82%D1%80%D0%B0%D1%85%D0%BE%D0%B2%D0%BE%D0%B9%20%D0%BF%D0%BE%D0%BB%D0%B8%D1%81.pdf;https://entero.ru/manuals/195460/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Puff-8851S%20%D1%85%D1%80%D0%BE%D0%BC.pdf,,,3.2 кг,Россия,Россия,автоматическое (сенсорное),металл,хром,65 дБ,от 10 до 12 сек.,от 40 до 54 °С,30 м/сек.,Да,
https://cdn.entero.ru/mp@2x/e7/fb/e7fb6783b4f3890c6a39bfe2b7fa62a7.jpg,Сушилка для рук Puff 8843 хром,Puff-8843 хром 4660013860419,15414,RUB,Да,,Профоборудование,Оборудование для общественных санузлов,Сушилки для рук,https://entero.ru/item/169467,"<p>Сушилка для рук<a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/169467""><b class=""b""> Puff-8843 </b></a>используется в гостиницах, отелях, бассейнах, фитнес-клубах и спа-центрах. Прибор оснащен автоматическим включением и выключением и 1 режимом сушки по скорости и по температуре. Корпус выполнен из нержавеющей стали 304.</p>

<p>В комплект поставки входит крепежная планка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Ударопрочный корпус </li>
<li>Подвесная система</li>
<li>Стильный дизайн</li>
<li>Высокоскоростной тип</li>
<li>Рассчитан на частое использование</li>
<li>Класс влагозащищенности IPX1</li>
<li>Класс энергоэффективности С</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Область срабатывания сенсора: от 50 до 200 мм</li>
<li>Габариты в упаковке: 195x298x293 мм</li>
</ul>",169467,традиционный,220 В,2.3 кВт,258 мм,200 мм,232 мм,,,,0,https://entero.ru/manuals/195430/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%82%D0%B0%D0%BC%D0%BE%D0%B6%D0%B5%D0%BD%D0%BD%D0%BE%D0%B3%D0%BE%20%D1%81%D0%BE%D1%8E%D0%B7%D0%B0.pdf;https://entero.ru/manuals/195431/%D0%A1%D1%82%D1%80%D0%B0%D1%85%D0%BE%D0%B2%D0%BE%D0%B9%20%D0%BF%D0%BE%D0%BB%D0%B8%D1%81.pdf;https://entero.ru/manuals/195434/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Puff-8843%20%D1%85%D1%80%D0%BE%D0%BC.pdf,,,4.8 кг,Россия,Россия,автоматическое (сенсорное),металл,хром,70 дБ,от 10 до 12 сек.,от 40 до 54 °С,30 м/сек.,Да,
