Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Вес (с упаковкой),Материал,Площадь действия
https://cdn.entero.ru/mp@2x/dd/ee/ddee0a7a6e96c63db16fe83150cead04.jpg,Лампа инсектицидная Airhot IKE-20W,C9530,2766,RUB,Да,Airhot,Профоборудование,Оборудование для дезинфекции и очистки,Инсектицидные лампы,https://entero.ru/item/132408,"<p>Инсектицидная лампа <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/132408"">Airhot IKE-20W</a></b> предназначена для привлечения ультрафиолетовым излучением и уничтожения электрическим током комаров, мух, мотыльков и прочих летающих вредителей посредством находящихся под высоким напряжением металлических решеток в залах кафе, ресторанов и на других предприятиях общественного питания. Модель оснащена 2 лампами. Корпус выполнен из окрашенной стали.</p>

<p>В комплект поставки входит цепь для подвешивания.</p>",132408,ультрафиолетовый,220 В,0.02 кВт,404 мм,65 мм,278 мм,,,,0,https://entero.ru/manuals/150630/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20IKE-20W.pdf;https://entero.ru/manuals/481787/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,3592,,1.6 кг,Китай,Китай,,окрашенный металл,80 м2
https://cdn.entero.ru/mp@2x/d1/2c/d12c1cb71ba6b7a720ff004d8039eb4d.jpg,Лампа инсектицидная Hurakan HKN-LIN30,207780,2583,RUB,Да,Hurakan,Профоборудование,Оборудование для дезинфекции и очистки,Инсектицидные лампы,https://entero.ru/item/128813,"<p>Инсектицидная лампа <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/128813"">Hurakan HKN-LIN30</a></b> предназначена для приманивания и уничтожения комаров, ос, мух, мотыльков и прочих летающих вредителей с помощью электрического тока на предприятиях общественного питания и торговли, а также в домашних условиях. Высокое напряжение, достаточное для поражения насекомых, подведено к металлическим решеткам в основе конструкции. Корпус выполнен из окрашенного металла.</p>

<p>В комплект поставки входит цепь для подвешивания.</p>",128813,ультрафиолетовый,220 В,0.01 кВт,265 мм,75 мм,265 мм,1 кг,1,300x83x290 мм,645,https://entero.ru/manuals/417127/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-LIN30.pdf;https://entero.ru/manuals/417170/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/417128/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/453917/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-LIN30.pdf,,,1 кг,Китай,Китай,,окрашенный металл,30 м2
https://cdn.entero.ru/mp@2x/ac/37/ac37e853769a516fd6da4fd2783045a6.jpg,Лампа инсектицидная Airhot IKE-40W,Лампа инсектицидная Airhot IKE-40W,3840,RUB,Да,Airhot,Профоборудование,Оборудование для дезинфекции и очистки,Инсектицидные лампы,https://entero.ru/item/122883,"<p>Инсектицидная лампа <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122883"">Airhot IKE-40W</a></b> предназначена для привлечения ультрафиолетовым излучением и уничтожения электрическим током комаров, мух, мотыльков и прочих летающих вредителей посредством находящихся под высоким напряжением металлических решеток в залах кафе, ресторанов и на других предприятиях общественного питания. Модель оснащена 2 лампами. Корпус выполнен из окрашенной стали.</p>

<p>В комплект поставки входит цепь для подвешивания.</p>",122883,ультрафиолетовый,220 В,0.04 кВт,637 мм,72 мм,264 мм,,,,0,https://entero.ru/manuals/129758/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20IKE-16W.pdf;https://entero.ru/manuals/481778/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,5260,,2.4 кг,Китай,Китай,,окрашенный металл,150 м2
https://cdn.entero.ru/mp@2x/40/46/4046a160231ab80f2e1f9ad6e4ca3c8b.jpg,Лампа инсектицидная Hurakan HKN-LIN80,207782,2827,RUB,Да,Hurakan,Профоборудование,Оборудование для дезинфекции и очистки,Инсектицидные лампы,https://entero.ru/item/128815,"<p>Инсектицидная лампа <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/128815"">Hurakan HKN-LIN80</a></b> предназначена для приманивания и уничтожения комаров, ос, мух, мотыльков и прочих летающих вредителей с помощью электрического тока на предприятиях общественного питания и торговли, а также в домашних условиях. Высокое напряжение, достаточное для поражения насекомых, подведено к металлическим решеткам в основе конструкции. Корпус выполнен из окрашенного металла.</p>

<p>В комплект поставки входит цепь для подвешивания.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 440х100х290 мм</li>
</ul>",128815,ультрафиолетовый,220 В,0.02 кВт,385 мм,75 мм,265 мм,1 кг,1,450x90x300 мм,461,https://entero.ru/manuals/417131/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-LIN80.pdf;https://entero.ru/manuals/417172/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/417132/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/453918/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-LIN80.pdf,3578,,1 кг,Китай,Китай,,окрашенный металл,80 м2
https://cdn.entero.ru/mp@2x/1f/04/1f04c24b9daa0c410d32d7b219d2f142.jpg,Лампа инсектицидная Hurakan HKN-LIN150,207784,3896,RUB,Да,Hurakan,Профоборудование,Оборудование для дезинфекции и очистки,Инсектицидные лампы,https://entero.ru/item/128811,"<p>Инсектицидная лампа <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/128811"">Hurakan HKN-LIN150</a></b> предназначена для приманивания и уничтожения комаров, ос, мух, мотыльков и прочих летающих вредителей с помощью электрического тока на предприятиях общественного питания и торговли, а также в домашних условиях. Высокое напряжение, достаточное для поражения насекомых, подведено к металлическим решеткам в основе конструкции. Корпус выполнен из окрашенного металла.</p>

<p>В комплект поставки входит цепь для подвешивания.</p>",128811,ультрафиолетовый,220 В,0.04 кВт,645 мм,75 мм,265 мм,2 кг,1,700x90x300 мм,845,https://entero.ru/manuals/417135/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-LIN150.pdf;https://entero.ru/manuals/417167/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/417136/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/453920/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-LIN150.pdf,,,2 кг,Китай,Китай,,окрашенный металл,150 м2
https://cdn.entero.ru/mp@2x/5e/c1/5ec1c06c40b1136cad57c7d88ea79cde.jpg,Лампа инсектицидная Airhot IKE-12W,C9525,2540,RUB,Да,Airhot,Профоборудование,Оборудование для дезинфекции и очистки,Инсектицидные лампы,https://entero.ru/item/132407,"<p>Инсектицидная лампа <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/132407"">Airhot IKE-12W</a></b> предназначена для привлечения ультрафиолетовым излучением и уничтожения электрическим током комаров, мух, мотыльков и прочих летающих вредителей посредством находящихся под высоким напряжением металлических решеток в залах кафе, ресторанов и на других предприятиях общественного питания. Модель оснащена 2 лампами. Корпус выполнен из окрашенной стали.</p>

<p>В комплект поставки входит цепь для подвешивания.</p>",132407,ультрафиолетовый,220 В,0.014 кВт,259 мм,72 мм,264 мм,,,,0,https://entero.ru/manuals/150628/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20IKE-12W.pdf;https://entero.ru/manuals/481788/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,1 кг,Китай,Китай,,окрашенный металл,30 м2
https://cdn.entero.ru/mp@2x/fe/5f/fe5f2c823231372d11dc908615e56778.jpg,Лампа инсектицидная Airhot IKE-30W,C9532,3070,RUB,Да,Airhot,Профоборудование,Оборудование для дезинфекции и очистки,Инсектицидные лампы,https://entero.ru/item/132410,"<p>Инсектицидная лампа <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/132410"">Airhot IKE-30W</a></b> предназначена для привлечения ультрафиолетовым излучением и уничтожения электрическим током комаров, мух, мотыльков и прочих летающих вредителей посредством находящихся под высоким напряжением металлических решеток в залах кафе, ресторанов и на других предприятиях общественного питания. Модель оснащена 2 лампами. Корпус выполнен из окрашенной стали.</p>

<p>В комплект поставки входит цепь для подвешивания.</p>",132410,ультрафиолетовый,220 В,0.03 кВт,468 мм,72 мм,264 мм,,,,0,https://entero.ru/manuals/150634/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20IKE-30W.pdf;https://entero.ru/manuals/368853/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/481775/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,3987,,1.74 кг,Китай,Китай,,окрашенный металл,100 м2
https://cdn.entero.ru/mp@2x/9a/c8/9ac815fb82bd906f85753fef40081415.jpg,Лампа инсектицидная Airhot IKE-16W,Лампа инсектицидная Airhot IKE-16W,2803,RUB,Да,Airhot,Профоборудование,Оборудование для дезинфекции и очистки,Инсектицидные лампы,https://entero.ru/item/122882,"<p>Инсектицидная лампа <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122882"">Airhot IKE-16W</a></b> предназначена для привлечения ультрафиолетовым излучением и уничтожения электрическим током комаров, мух, мотыльков и прочих летающих вредителей посредством находящихся под высоким напряжением металлических решеток в залах кафе, ресторанов и на других предприятиях общественного питания. Модель оснащена 2 лампами. Корпус выполнен из окрашенной стали.</p>

<p>В комплект поставки входит цепь для подвешивания.</p>",122882,ультрафиолетовый,220 В,0.016 кВт,336 мм,72 мм,264 мм,,,,0,https://entero.ru/manuals/129757/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20IKE-16W.pdf;https://entero.ru/manuals/481774/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,3840,,1.3 кг,Китай,Китай,,окрашенный металл,50 м2
https://cdn.entero.ru/mp@2x/68/bb/68bbcfebfb6a6a4ed4d1ea12cde4d24d.jpg,Лампа инсектицидная Airhot IK-60W,C6150,4591,RUB,Да,Airhot,Профоборудование,Оборудование для дезинфекции и очистки,Инсектицидные лампы,https://entero.ru/item/132406,"<p>Инсектицидная лампа <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/132406"">Airhot IK-60W</a></b> предназначена для привлечения ультрафиолетовым излучением и уничтожения электрическим током комаров, мух, мотыльков и прочих летающих вредителей посредством находящихся под высоким напряжением металлических решеток в залах кафе, ресторанов и на других предприятиях общественного питания. Модель оснащена 3 лампами. Корпус выполнен из окрашенной стали.</p>

<p>В комплект поставки входит цепь для подвешивания.</p>",132406,ультрафиолетовый,220 В,0.06 кВт,650 мм,86 мм,320 мм,,,,0,https://entero.ru/manuals/150627/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20IK-60W.pdf;https://entero.ru/manuals/481786/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,6376,,3.15 кг,Китай,Китай,,окрашенный металл,180 м2
https://cdn.entero.ru/mp@2x/8a/18/8a180f4876996f230e9f68964bc69d57.jpg,Лампа инсектицидная Hurakan HKN-MID180M,350616,4660,RUB,Да,Hurakan,Профоборудование,Оборудование для дезинфекции и очистки,Инсектицидные лампы,https://entero.ru/item/167907,"<p>Инсектицидная лампа <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/167907"">Hurakan HKN-MID180M</a></b> с ультрафиолетовым излучением предназначена для уничтожения комаров, мух, мотыльков и прочих летающих вредителей на предприятиях общественного питания и торговли. Корпус выполнен из крашеного металла.</p>

<p>В комплект поставки входит цепь для подвешивания.</p>",167907,ультрафиолетовый,220 В,0.05 кВт,655 мм,95 мм,385 мм,3 кг,1,660x90x290 мм,1359,https://entero.ru/manuals/417150/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-MID180M.pdf;https://entero.ru/manuals/417177/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/417151/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/453922/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-MID180M.pdf,,,3.65 кг,Китай,Китай,,окрашенный металл,180 м2
https://cdn.entero.ru/mp@2x/b0/41/b041cd3a1705b9dfe214f9f10af66d50.jpg,Лампа инсектицидная Airhot IK-20W,Лампа инсектицидная Airhot IK-20W,3092,RUB,Да,Airhot,Профоборудование,Оборудование для дезинфекции и очистки,Инсектицидные лампы,https://entero.ru/item/122880,"<p>Инсектицидная лампа <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122880"">Airhot IK-20W</a></b> предназначена для привлечения ультрафиолетовым излучением и уничтожения электрическим током комаров, мух, мотыльков и прочих летающих вредителей посредством находящихся под высоким напряжением металлических решеток в залах кафе, ресторанов и на других предприятиях общественного питания. Модель оснащена 2 лампами. Корпус выполнен из окрашенной стали.</p>

<p>В комплект поставки входит цепь для подвешивания.</p>",122880,ультрафиолетовый,220 В,0.02 кВт,403 мм,118 мм,303 мм,,,,0,https://entero.ru/manuals/129754/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20IK-20W.pdf;https://entero.ru/manuals/481776/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,4068,,3 кг,Китай,Китай,,окрашенный металл,60 м2
https://cdn.entero.ru/mp@2x/6f/19/6f19be605689ab4a8eef1d1816967a06.jpg,Лампа инсектицидная Hurakan HKN-MID50M,Лампа инсектицидная Hurakan HKN-MID50M,2766,RUB,Да,Hurakan,Профоборудование,Оборудование для дезинфекции и очистки,Инсектицидные лампы,https://entero.ru/item/176611,"<p>Инсектицидная лампа <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/176611"">Hurakan HKN-MID50M</a></b> с ультрафиолетовым излучением предназначена для уничтожения комаров, мух, мотыльков и прочих летающих вредителей на предприятиях общественного питания и торговли. Корпус выполнен из крашеного металла.</p>

<p>В комплект поставки входит цепь для подвешивания.</p>",176611,ультрафиолетовый,220 В,0.02 кВт,350 мм,95 мм,275 мм,1 кг,1,360x100x295 мм,1268,https://entero.ru/manuals/417144/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-MID50M.pdf;https://entero.ru/manuals/417179/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/417145/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/453927/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-MID50M.pdf,,,1 кг,Китай,Китай,,окрашенный металл,50 м2
https://cdn.entero.ru/mp@2x/97/7f/977f0ba5788f2a12c475eff109226965.jpg,Лампа инсектицидная Hurakan HKN-LIN50,207781,2857,RUB,Да,Hurakan,Профоборудование,Оборудование для дезинфекции и очистки,Инсектицидные лампы,https://entero.ru/item/128814,"<p>Инсектицидная лампа <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/128814"">Hurakan HKN-LIN50</a></b> предназначена для приманивания и уничтожения комаров, ос, мух, мотыльков и прочих летающих вредителей с помощью электрического тока на предприятиях общественного питания и торговли, а также в домашних условиях. Высокое напряжение, достаточное для поражения насекомых, подведено к металлическим решеткам в основе конструкции. Корпус выполнен из окрашенного металла.</p>

<p>В комплект поставки входит цепь для подвешивания.</p>",128814,ультрафиолетовый,220 В,0.02 кВт,345 мм,75 мм,265 мм,1 кг,1,410x80x300 мм,519,https://entero.ru/manuals/142024/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-LIN50.pdf;https://entero.ru/manuals/417129/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-LIN50.pdf;https://entero.ru/manuals/417171/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/417130/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,3484,,1 кг,Китай,Китай,,окрашенный металл,50 м2
https://cdn.entero.ru/mp@2x/e4/fd/e4fd6ee2c0d91b8931c37ce116b95304.jpg,Лампа инсектицидная Airhot IK-40W,Лампа инсектицидная Airhot IK-40W,4468,RUB,Да,Airhot,Профоборудование,Оборудование для дезинфекции и очистки,Инсектицидные лампы,https://entero.ru/item/122881,"<p>Инсектицидная лампа <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122881"">Airhot IK-40W</a></b> предназначена для привлечения ультрафиолетовым излучением и уничтожения электрическим током комаров, мух, мотыльков и прочих летающих вредителей посредством находящихся под высоким напряжением металлических решеток в залах кафе, ресторанов и на других предприятиях общественного питания. Модель оснащена 2 лампами. Корпус выполнен из окрашенной стали.</p>

<p>В комплект поставки входит цепь для подвешивания.</p>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",122881,ультрафиолетовый,220 В,0.04 кВт,653 мм,118 мм,388 мм,,,,0,https://entero.ru/manuals/129755/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20IK-40W.pdf;https://entero.ru/manuals/481785/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,5.2 кг,Китай,Китай,,окрашенный металл,150 м2
https://cdn.entero.ru/mp@2x/0c/cc/0cccb864398d3ac89cee29c112a96737.jpg,Лампа инсектицидная Hurakan HKN-LIN100,207783,3123,RUB,Да,Hurakan,Профоборудование,Оборудование для дезинфекции и очистки,Инсектицидные лампы,https://entero.ru/item/128810,"<p>Инсектицидная лампа <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/128810"">Hurakan HKN-LIN100</a></b> предназначена для приманивания и уничтожения комаров, ос, мух, мотыльков и прочих летающих вредителей с помощью электрического тока на предприятиях общественного питания и торговли, а также в домашних условиях. Высокое напряжение, достаточное для поражения насекомых, подведено к металлическим решеткам в основе конструкции. Корпус выполнен из окрашенного металла.</p>

<p>В комплект поставки входит цепь для подвешивания.</p>",128810,ультрафиолетовый,220 В,0.03 кВт,495 мм,75 мм,265 мм,2 кг,1,560x90x300 мм,422,https://entero.ru/manuals/417133/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-LIN100.pdf;https://entero.ru/manuals/417166/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/417134/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/453919/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-LIN100.pdf,,,1 кг,Китай,Китай,,окрашенный металл,100 м2
https://cdn.entero.ru/mp@2x/89/07/8907fce06d3eb0bb0b731b05c6f2cebd.jpg,Лампа инсектицидная Hurakan HKN-MID80M,Лампа инсектицидная Hurakan HKN-MID80M,2795,RUB,Да,Hurakan,Профоборудование,Оборудование для дезинфекции и очистки,Инсектицидные лампы,https://entero.ru/item/176599,"<p>Инсектицидная лампа <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/176599"">Hurakan HKN-MID80M</a></b> с ультрафиолетовым излучением предназначена для уничтожения комаров, мух, мотыльков и прочих летающих вредителей на предприятиях общественного питания и торговли. Корпус выполнен из крашеного металла.</p>

<p>В комплект поставки входит цепь для подвешивания.</p>",176599,ультрафиолетовый,220 В,0.03 кВт,395 мм,95 мм,315 мм,1 кг,1,400x100x295 мм,1840,https://entero.ru/manuals/417146/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-MID80M.pdf;https://entero.ru/manuals/417180/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/417147/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/453926/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-MID80M.pdf,,,1 кг,Китай,Китай,,окрашенный металл,80 м2
