Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Установка,Оснащение,Моечная ванна,Обвязка,Душирующее устройство,Столешница,Размеры раковины (ДхШ),Отверстие для сбора отходов,Направляющие под кассеты,Глубина раковины
https://cdn.entero.ru/mp@2x/3a/bd/3abdc8f3e57d2413672aa46592d50288.jpg;https://cdn.entero.ru/mp@2x/27/6b/276bf6b1dd7c0b70fe0577ed8338d98b.jpg;https://cdn.entero.ru/mp@2x/11/7f/117f3f98899f2965ce167a65ccfbdd83.jpg,Стол предмоечный Abat СПМП-7-4 с душирующим устройством,21000808424,72842,RUB,Да,Abat,Профоборудование,Посудомоечное,Столы для посудомоечных машин,https://entero.ru/item/97445,"<p>Предмоечный стол <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/97445""><b class=""b"">Abat СПМП-7-4 </b></a>используется совместно с купольными посудомоечными машинами <a href=""https://entero.ru/search.php?text=abat+МПТ+1700"">МПТ-1700</a>, <a href=""https://entero.ru/search.php?text=abat++МПТ-1700-03"">МПТ-1700-03</a> и <a href=""https://entero.ru/search.php?text=abat+МПТ-2000"">МПТ-2000</a> на предприятиях общественного питания и торговли. Модель оснащена цельнотянутой моечной ванной и регулируемыми по высоте ножками.</p>

<p>Конструкция разборная, выполнена из нержавеющей стали</p>

<p><b>Особенности:</b></p>

<ul>
<li>Душирующее устройство</li>
<li>Сборка как в правом исполнении, так и в левом</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Размер ванны: 400х400х250 мм</li>
<li>Допустимая нагрузка: 80 кг</li>
</ul>",97445,предмоечный,1304 мм,725 мм,1735 мм,,,,0,https://entero.ru/manuals/87211/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%A1%D0%9F%D0%9C%D0%9F-7-4.pdf;https://entero.ru/manuals/87210/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Abat%20%D0%A1%D0%9F%D0%9C%D0%9F-7-4.doc;https://entero.ru/manuals/87212/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/413657/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,36 кг,,Россия,универсальная,,Да,Да,Да,с бортом,400х400 мм,,,
https://cdn.entero.ru/mp@2x/6f/c8/6fc81732c498baa42a502d0c1caf8da9.jpg;https://cdn.entero.ru/mp@2x/ec/39/ec3934cf5cab585fb7378bd19e61ae2f.jpg,Стол для чистой посуды Abat СПМР-6-2,Стол для чистой посуды Abat СПМР-6-2,27604,RUB,Да,Abat,Профоборудование,Посудомоечное,Столы для посудомоечных машин,https://entero.ru/item/47630,"<p>Стол для чистой посуды <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://m.entero.ru/item/47630"">Abat СПМР-6-2</a></b> используется совместно с купольными посудомоечными машинами <a href=""https://entero.ru/search.php?text=МПТ-1700"">МПТ-1700</a>, <a href=""https://entero.ru/search.php?text=МПТ+1700-03"">МПТ-1700-03 </a>и <a href=""https://entero.ru/search.php?text=МПТ-2000"">МПТ-2000</a> на предприятиях общественного питания и торговли для размещения кассет с чистой посудой после мойки. Модель оснащена столешницей со сливом и регулируемыми по высоте ножками.</p>

<p>Конструкция разборная, выполнена из нержавеющей стали</p>

<p><b>Особенности:</b></p>

<ul>
<li>Крепление к посудомоечной машине с помощью верхнего зацепа и нижних винтов</li>
<li>Сборка как в правом исполнении, так и в левом</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Габариты: 704x635х900-930 мм</li>
<li>Вес: 18 кг</li>
</ul>",47630,,,,,,,,0,https://entero.ru/manuals/108368/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%A1%D0%9F%D0%9C%D0%A0-6-2.pdf;https://entero.ru/manuals/108367/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Abat%20%D0%A1%D0%9F%D0%9C%D0%A0-6-2.pdf;https://entero.ru/manuals/510748/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,,,,,,,,,,,,
https://cdn.entero.ru/mp@2x/43/85/43853a5cc3488b1326a80b8267c9e58a.jpg;https://cdn.entero.ru/mp@2x/5b/40/5b40a80a16a5fb5ddbd2748e18ce755d.jpg;https://cdn.entero.ru/mp@2x/ca/f4/caf4cb1518d7ef5568407c1dc5f6320c.jpg;https://cdn.entero.ru/mp@2x/c5/54/c554b7aab6905a6ff909d68343a1db69.jpg,Стол предмоечный Abat СПМП-6-1,21000001745,47691,RUB,Да,Abat,Профоборудование,Посудомоечное,Столы для посудомоечных машин,https://entero.ru/item/47621,"<p>Предмоечный стол <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/47621"">Abat СПМП-6-1</a></b> используется совместно с купольными посудомоечными машинами <a href=""https://entero.ru/search.php?text=abat+МПК-700"">МПК-700</a>, <a href=""https://entero.ru/search.php?text=abat+МПТ-700"">МПТ-700</a> и <a href=""https://entero.ru/search.php?text=abat+МПК-1100"">МПК-1100</a> на предприятиях общественного питания и торговли. Модель оснащена цельнотянутой моечной ванной и регулируемыми по высоте ножками.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Душирующее устройство</li>
<li>Сборка как в правом исполнении, так и в левом</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Размер ванны: 400х400х250 мм</li>
<li>Допустимая нагрузка:
<ul>
<li>Столешница: 80 кг</li>
<li>Нижняя полка: 50 кг</li>
</ul>
</li>
<li>Габариты: 572х795х1080-1800 мм</li>
<li>Вес: 22 кг</li>
<li>Вес с упаковкой: 38 кг</li>
</ul>",47621,предмоечный,572 мм,795 мм,1800 мм,,,,0,https://entero.ru/manuals/107397/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%A1%D0%9F%D0%9C%D0%9F-6-1.pdf;https://entero.ru/manuals/107395/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Abat%20%D0%A1%D0%9F%D0%9C%D0%9F-6-1.pdf;https://entero.ru/manuals/510740/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,22 кг,,Россия,универсальная,,Да,,Да,с бортом,400х400 мм,,,
https://cdn.entero.ru/mp@2x/45/b9/45b9468e12fea36fdc7ff352b3dff31f.jpg;https://cdn.entero.ru/mp@2x/6a/5a/6a5ab7e45edb0429f16628da9e2af252.jpg;https://cdn.entero.ru/mp@2x/a5/cd/a5cdc518808b4e2f47319cf95897a7b2.jpg;https://cdn.entero.ru/mp@2x/4a/53/4a538f3f997924ec480853dd22f8be48.jpg,Стол предмоечный Abat СПМП-6-5,21000001737,86394,RUB,Да,Abat,Профоборудование,Посудомоечное,Столы для посудомоечных машин,https://entero.ru/item/47623,"<p>Предмоечный стол <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/47623"">Abat СПМП-6-5</a></b> используется совместно с купольными посудомоечными машинами <a href=""https://entero.ru/search.php?text=МПК-700"">МПК-700</a>, <a href=""https://entero.ru/search.php?text=МПТ-700"">МПТ-700</a> и <a href=""https://entero.ru/search.php?text=МПК-1100"">МПК-1100</a> на предприятиях общественного питания и торговли. Модель оснащена цельнотянутой моечной ванной и регулируемыми по высоте ножками.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Душирующее устройство</li>
<li>Сборка как в правом исполнении, так и в левом</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Размер ванны: 400х400х300 мм</li>
<li>Допустимая нагрузка:
<ul>
<li>Столешница: 80 кг</li>
<li>Нижняя полка: 50 кг</li>
</ul>
</li>
</ul>",47623,предмоечный,1512 мм,702 мм,1800 мм,,,,0,https://entero.ru/manuals/107436/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%A1%D0%9F%D0%9C%D0%9F-6-5.pdf;https://entero.ru/manuals/107434/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Abat%20%D0%A1%D0%9F%D0%9C%D0%9F-6-5.pdf;https://entero.ru/manuals/510742/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,89994,42 кг,,Россия,универсальная,полка,Да,Да,Да,с бортом,400х400 мм,Да,,
https://cdn.entero.ru/mp@2x/bc/5f/bc5f1b6de57a070bf40c24d28830e1ea.jpg;https://cdn.entero.ru/mp@2x/4a/de/4adea921712a84232ea5f5317428e417.jpg;https://cdn.entero.ru/mp@2x/7f/b4/7fb4a4594c7e88020399d50d80a95808.jpg,Стол для чистой посуды Abat СПМР-6-5,21000001747,28435,RUB,Да,Abat,Профоборудование,Посудомоечное,Столы для посудомоечных машин,https://entero.ru/item/47625,"<p>Стол для чистой посуды <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/47625"">Abat СПМР-6-5</a></b> используется совместно с купольными посудомоечными машинами <a href=""https://entero.ru/item/17524"">МПК-700К</a>, <a href=""https://entero.ru/item/17523"">МПК-700К-01</a> и <a href=""https://entero.ru/item/24840"">МПК-1100</a> на предприятиях общественного питания и торговли. Модель оснащена регулируемыми по высоте ножками.</p>

<p>Конструкция разборная, выполнена из нержавеющей стали</p>

<p><b>Особенности:</b></p>

<ul>
<li>Крепление к посудомоечной машине с помощью верхнего зацепа и нижних винтов</li>
<li>Сборка как в правом исполнении, так и в левом</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Максимальная нагрузка на нижнюю полку: 50 кг</li>
<li>Допустимая нагрузка на столешницу: 80 кг</li>
</ul>",47625,раздаточный,1062 мм,611 мм,940 мм,,,,0,https://entero.ru/manuals/108349/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%A1%D0%9F%D0%9C%D0%A0-6-5.pdf;https://entero.ru/manuals/108348/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Abat%20%D0%A1%D0%9F%D0%9C%D0%A0-6-5.pdf;https://entero.ru/manuals/510747/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,29932,20 кг,Россия,Россия,универсальная,полка,,,,с бортом,,,,
https://cdn.entero.ru/mp@2x/51/3c/513c9b994d181983d86765d1175ed942.jpg;https://cdn.entero.ru/mp@2x/c8/e9/c8e9a74c0c2bd3a508071080caebaca5.jpg;https://cdn.entero.ru/mp@2x/71/6a/716a8fe6e07660f2ec262e12b050f648.jpg;https://cdn.entero.ru/mp@2x/08/6f/086f49a102ac208eaaf98045d0b8d8bb.jpg,Стол предмоечный Abat СПМФ-7-1,21000807932,70587,RUB,Да,Abat,Профоборудование,Посудомоечное,Столы для посудомоечных машин,https://entero.ru/item/84276,"<p>Предмоечный стол <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/84276"">Abat СПМФ-7-1</a></b> используется совместно с посудомоечными машинами с фронтальной загрузкой <a href=""https://entero.ru/search.php?text=МПК500Ф"">МПК-500Ф</a> на предприятиях общественного питания и торговли. Модель оснащена цельнотянутой моечной ванной и регулируемыми по высоте ножками.</p>

<p>Конструкция разборная, выполнена из высококачественной нержавеющей стали AISI 304.</p>

<p>В комплект поставки входят гибкий шланг и сифон.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Душирующее устройство</li>
<li>Посудомоечная машина устанавливается под столещницу</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Размер ванны: 400х400х250 мм</li>
<li>Допустимая нагрузка:
<ul>
<li>Столешница: 80 кг</li>
<li>Нижняя полка: 50 кг</li>
</ul>
</li>
</ul>",84276,предмоечный,1166 мм,724 мм,1800 мм,,,,0,https://entero.ru/manuals/107425/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%A1%D0%9F%D0%9C%D0%A4-7-1.pdf;https://entero.ru/manuals/413921/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Abat%20%D0%A1%D0%9F%D0%9C%D0%A4-7-1.pdf;https://entero.ru/manuals/510751/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,74302,34 кг,,Россия,слева,полка,Да,,Да,с бортом,400х400 мм,,,
https://cdn.entero.ru/mp@2x/d9/92/d99251726a82e8d0d227dfffedb5948f.jpg;https://cdn.entero.ru/mp@2x/56/f0/56f0972ec7a46b9a96bc697173628f51.jpg;https://cdn.entero.ru/mp@2x/d9/8e/d98ed5f05008c145e0e8f43c65dc5638.jpg;https://cdn.entero.ru/mp@2x/88/1c/881c19ce81fe0dfccfc303dfb044153b.jpg,Стол предмоечный Abat СПМП-6-7,21000001736,95590,RUB,Да,Abat,Профоборудование,Посудомоечное,Столы для посудомоечных машин,https://entero.ru/item/84277,"<p>Предмоечный стол <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/84277"">Abat СПМП-6-7</a></b> используется совместно с купольными посудомоечными машинами <a href=""https://entero.ru/search.php?text=МПК-700"">МПК-700</a>, <a href=""https://entero.ru/search.php?text=МПТ-700"">МПТ-700</a> и <a href=""https://entero.ru/search.php?text=МПК-1100"">МПК-1100</a> на предприятиях общественного питания и торговли. Модель оснащена цельнотянутой моечной ванной и регулируемыми по высоте ножками.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Душирующее устройство</li>
<li>Направляющие для кассет размером 500х500 мм</li>
<li>Сборка как в правом исполнении, так и в левом</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Размер ванны: 400х400х250 мм</li>
<li>Допустимая нагрузка:
<ul>
<li>Столешница: 80 кг</li>
<li>Нижняя полка: 50 кг</li>
</ul>
</li>
</ul>",84277,предмоечный,1712 мм,702 мм,1800 мм,,,,0,https://entero.ru/manuals/107496/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%A1%D0%9F%D0%9C%D0%9F-6-7.pdf;https://entero.ru/manuals/413908/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Abat%20%D0%A1%D0%9F%D0%9C%D0%9F-6-7.pdf;https://entero.ru/manuals/510743/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,99573,49 кг,,Россия,,полка,Да,,Да,с бортом,400х400 мм,Да,Да,
https://cdn.entero.ru/mp@2x/0f/f1/0ff1b6a17b50e7a6fbf6da890c2282a3.jpg;https://cdn.entero.ru/mp@2x/0e/e8/0ee86e4d46989b61128dacac5580033a.jpg,Стол для чистой посуды Gabino TDE-T,N3104000002,18872,RUB,Да,,Профоборудование,Посудомоечное,Столы для посудомоечных машин,https://entero.ru/item/188757,"<p>Стол для чистой посуды <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/188757""><b class=""b"">Gabino TPL-T </b></a>используется совместно с посудомоечной машиной <a href=""https://entero.ru/search.php?text=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B0+Gabino+2000"">LM-T-2000</a> на предприятиях общественного питания и торговли. Изделие выполнено из нержавеющей стали AISI 304 толщиной 1 мм.</p>",188757,раздаточный,900 мм,635 мм,900 мм,,,,0,,,,,Россия,,,,,,,,,,
https://cdn.entero.ru/mp@2x/d9/6a/d96ab51461fec2bcf5e5ece2f34f818d.jpg,Стол предмоечный Gabino TPL-T,N3104000001,49576,RUB,Да,,Профоборудование,Посудомоечное,Столы для посудомоечных машин,https://entero.ru/item/188756,"<p>Предмоечный стол <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/188756""><b class=""b"">Gabino TPL-T </b></a>используется совместно с посудомоечной машиной <a href=""https://entero.ru/search.php?text=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B0+Gabino+2000"">LM-T-2000</a> на предприятиях общественного питания и торговли. Модель оснащена цельнонатянутой ванной. Изделие выполнено из нержавеющей стали AISI 304 толщиной 1 мм.</p>",188756,предмоечный,1304 мм,725 мм,1735 мм,,,,0,,52740,,,Россия,,,,,Да,,,,,
https://cdn.entero.ru/mp@2x/e9/95/e9956ac87343d043b7f12dec22c0b986.jpg;https://cdn.entero.ru/mp@2x/46/e2/46e292f7a727f15c0a8135fbc1ab0bde.jpg,Транспортер для сбора грязной посуды ATESY КАЮР-М ведущий модуль (1 м),Транспортер КАЮР-М - Ведущий модуль (1м),136131,RUB,Да,ATESY,Профоборудование,Посудомоечное,Столы для посудомоечных машин,https://entero.ru/item/59954,"<p>Транспортер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/59954""><b class=""b"">ATESY КАЮР-М </b></a>предназначен для перемещения и сбора грязной посуды на предприятиях общественного питания. Ведущий модуль является основным компонентом, который приводит в движение ленту. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Встроенный очиститель ленты от грязи</li>
<li>Поддон для сбора нечистот</li>
<li>Панель управления с функцией реверса</li>
<li>Материал рабочей поверхности: нержавеющая сталь AISI 430</li>
<li>Материал корпуса: нержавеющая сталь AISI 304 с сечением трубы 40х40 мм</li>
<li>Регулируемые ножки</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Скорость: 20 см/с</li>
<li>Максимальная нагрузка на ленту: 15 кг/пог.м.</li>
<li>Ширина ленты: 450 мм</li>
<li>Мощность: 0,37 кВт</li>
<li>Напряжение: 380 В</li>
<li>Габариты в упаковке: 1360х700х700 мм</li>
</ul>",59954,,1000 мм,765 мм,880 мм,,,,0,https://entero.ru/manuals/29188/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ATESY%20%D0%9A%D0%90%D0%AE%D0%A0-%D0%9C.pdf;https://entero.ru/manuals/29189/%D0%A1%D0%B0%D0%BD%D0%B8%D1%82%D0%B0%D1%80%D0%BD%D0%BE-%D1%8D%D0%BF%D0%B8%D0%B4%D0%B5%D0%BC%D0%B8%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B5%20%D0%B7%D0%B0%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D0%B5.pdf;https://entero.ru/manuals/29190/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/29191/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0.pdf,,93 кг,Россия,Россия,,,,,,,,,,
https://cdn.entero.ru/mp@2x/28/90/2890daae129744f44513ce681d32d190.jpg;https://cdn.entero.ru/mp@2x/b3/19/b319723a396df833821d677b70e01e81.jpg,Транспортер для сбора грязной посуды ATESY КАЮР-М натяжной модуль (1 м),18716/Транспортер КАЮР-М - Натяжной модуль (1м),51769,RUB,Да,ATESY,Профоборудование,Посудомоечное,Столы для посудомоечных машин,https://entero.ru/item/59955,"<p>Транспортер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/59955""><b class=""b"">ATESY КАЮР-М </b></a>предназначен для перемещения и сбора грязной посуды на предприятиях общественного питания. Модуль предназначен для натяжения ленты.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Встроенный очиститель ленты от грязи</li>
<li>Поддон для сбора мусора</li>
<li>Кнопка отключения транспортера</li>
<li>Материал рабочей поверхности: нержавеющая сталь AISI 430</li>
<li>Материал каркаса: нержавеющая сталь AISI 304 с сечением трубы 40х40 мм</li>
<li>Регулируемые ножки</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Ширина ленты: 450 мм</li>
<li>
<p>Габариты в упаковке: 1100х670х510 мм</p>
</li>
</ul>",59955,,1030 мм,600 мм,850 мм,,,,0,https://entero.ru/manuals/29192/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ATESY%20%D0%9A%D0%90%D0%AE%D0%A0-%D0%9C.pdf;https://entero.ru/manuals/29193/%D0%A1%D0%B0%D0%BD%D0%B8%D1%82%D0%B0%D1%80%D0%BD%D0%BE-%D1%8D%D0%BF%D0%B8%D0%B4%D0%B5%D0%BC%D0%B8%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B5%20%D0%B7%D0%B0%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D0%B5.pdf;https://entero.ru/manuals/29194/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/29195/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0.pdf,56271,55 кг,Россия,Россия,,,,,,,,,,
https://cdn.entero.ru/mp@2x/67/85/67854081a44a8a65acbb3847e8cab393.jpg;https://cdn.entero.ru/mp@2x/f2/ee/f2ee294fdde778c0f3f4b57db80dd4ef.jpg,Транспортер для сбора грязной посуды ATESY КАЮР-М промежуточный модуль (2 м),Транспортер КАЮР-М - Промежуточный модуль 2м,56883,RUB,Да,ATESY,Профоборудование,Посудомоечное,Столы для посудомоечных машин,https://entero.ru/item/59957,"<p>Транспортер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/59957""><b class=""b"">ATESY КАЮР-М </b></a>предназначен для перемещения и сбора грязной посуды на предприятиях общественного питания. Промежуточный модуль используется для увеличения длины всего устройства.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Материал рабочей поверхности: нержавеющая сталь AISI 430</li>
<li>Материал каркаса: нержавеющая сталь AISI 304 с сечением трубы 40х40 мм</li>
<li>Регулируемые ножки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Ширина ленты: 450 мм</li>
<li>Габариты в упаковке: 2100х680х470 мм</li>
</ul>",59957,,2015 мм,600 мм,850 мм,,,,0,https://entero.ru/manuals/29200/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ATESY%20%D0%9A%D0%90%D0%AE%D0%A0-%D0%9C.pdf;https://entero.ru/manuals/29201/%D0%A1%D0%B0%D0%BD%D0%B8%D1%82%D0%B0%D1%80%D0%BD%D0%BE-%D1%8D%D0%BF%D0%B8%D0%B4%D0%B5%D0%BC%D0%B8%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B5%20%D0%B7%D0%B0%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D0%B5.pdf;https://entero.ru/manuals/29202/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/29203/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0.pdf,,70 кг,Россия,Россия,,,,,,,,,,
