Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Установка,Вес (с упаковкой),Скорость конвейера,Конвейер,Размеры камеры (ШxГxВ),Максимальная нагрузка на конвейер
https://cdn.entero.ru/mp@2x/f2/40/f2406fddaa956c49db6fa5098ef7ed3a.jpg;https://cdn.entero.ru/mp@2x/3a/f5/3af5148e1dd609472853447cba9df621.jpg,Термоусадочный газовый пистолет Shrinkpack 1739,Термоусадочный газовый пистолет Shrinkpack 1739,59845,RUB,Да,,Профоборудование,Фасовочно-упаковочное,Термоусадочные упаковочные машины,https://entero.ru/item/284038,"<p>Термопистолет <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/284038"">Shrinkpack 1739</a></b> используется на предприятиях пищевой промышленности, общественного питания и торговли для термоусадки различных объектов разных размеров и форм, паллеты с грузом или крупные негабаритные объекты. Модель оснащена встроенныеми системами защиты: подача газа перекрывается, если давление падает ниже установленного минимального уровня, и подключается к газовому баллону через гибкий шланг.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Используемый газ: пропан</li>
<li>Потребление: от 2,9 до 4,9 кг/ч</li>
<li>Забор воздуха: от 35 до 63 м<sup>3</sup>/ч</li>
<li>Давление: от 1,6 до 3,5</li>
</ul>",284038,механический,,от 40 до 75 кВт,360 мм,,,,,,0,,62339,,1.16 кг,Китай,,,ручной,,,,,
https://cdn.entero.ru/mp@2x/ce/85/ce850be5f54419892e6ba4427aa40ea0.jpg,Термоусадочный тоннель Hualian BS-6535LA,Термоусадочный тоннель Hualian BS-6535LA,117371,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Термоусадочные упаковочные машины,https://entero.ru/item/94549,"<p>Напольный термоусадочный тоннель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/94549"">Hualian BS-6535LA</a></b> предназначен для усадки пленки при упаковке продуктов питания, напитков, медицинских препаратов, металлоизделий, косметики и другой продукции на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли. Модель оснащена электронным контролем температуры.</p>

<p>В комплект поставки входит ленточный или роликовый конвейер (вариант конвейера уточняйте у наших менеджеров).</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 двигатель обдува</li>
<li>Регулируемая скорость конвейерной ленты</li>
<li>Регулируемая по высоте камера</li>
<li>Подходит для всех основных типов термоусадочных пленок: ПОФ, ПВХ и др.</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Максимальная нагрузка: 30 кг</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",94549,,380 В,13 кВт,1600 мм,850 мм,1200 мм,,,,0,https://entero.ru/manuals/313006/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hualian%20BS-6535LA.pdf,127577,,150 кг,,Китай,,напольная,,от 0 до 10 м/мин.,,1200х650х50-350 мм,
https://cdn.entero.ru/mp@2x/52/36/5236f3e2ce2cb50532ca4c9b03d63cb0.jpg;https://cdn.entero.ru/mp@2x/80/fd/80fd5aae371a59273bb3e7119473aada.jpg;https://cdn.entero.ru/mp@2x/26/dc/26dc6d280c17162da3e934177cfa8488.jpg;https://cdn.entero.ru/mp@2x/df/16/df160f88d9f11319ff395a14c2e3e0a2.jpg;https://cdn.entero.ru/mp@2x/f1/4b/f14b3c6167f5b0be7e987f162749897e.jpg;https://cdn.entero.ru/mp@2x/47/02/4702e33a99bd235f0d5564bec5518d54.jpg,Термотоннель МАГИКОН BS-4020A,00-00047297,51275,RUB,Да,,Профоборудование,Фасовочно-упаковочное,Термоусадочные упаковочные машины,https://entero.ru/item/206232,"<p>Термотоннель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/206232""><b class=""b"">МАГИКОН BS-4020A </b></a>предназначен для создания температурного коридора при упаковке товаров в термоусадочную пленку на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли. Идеально синхронизируется с термоножами <a href=""https://entero.ru/item/126896"">BSF-501</a> и <a href=""https://entero.ru/item/126902"">BSF-601</a>. Модель оснащена блоком управления. Корпус выполнен из окрашенной стали, транспортер - из металлической сетки, что лучше подойдет для термоусадки мелких, не обьемных продуктов. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Используется в составе полуавтоматических линий</li>
<li>Регулировка скорости транспортера</li>
<li>Регулировка температуры обдува воздухом</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты тоннеля: 900х450х50-250 мм</li>
<li>Регулировка температуры от 0 до 300 °С</li>
<li>Размер упаковываемого товара:
<ul>
<li>Ширина: до 430 мм</li>
<li>Высота: от 40 до 240 мм</li>
<li>Длина: не ограничена</li>
</ul>
</li>
</ul>",206232,автоматический,380 В,5.5 кВт,1100 мм,630 мм,750 мм,,,,0,,,,60 кг,,Китай,,настольная,,10 м/мин.,,,5 кг
https://cdn.entero.ru/mp@2x/5e/58/5e58ac95fe4d095317e89a43be108f11.jpg,Термоусадочный тоннель Hualian BS-4525A 220В,Термоусадочный тоннель Hualian BS-4525A 220В,84364,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Термоусадочные упаковочные машины,https://entero.ru/item/94546,"<p>Напольный термоусадочный тоннель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/94546""><b class=""b"">Hualian BS-4525A</b></a> предназначен для усадки пленки при упаковке продуктов питания, напитков, медицинских препаратов, металлоизделий, косметики и другой продукции на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли. Модель оснащена электронным контролем температуры.</p>

<p>В комплект поставки входит ленточный или роликовый конвейер (вариант конвейера уточняйте у наших менеджеров).</p>

<p><b>Особенности:</b></p>

<ul>
<li>1 двигатель обдува</li>
<li>Регулируемая скорость конвейерной ленты</li>
<li>Регулируемая по высоте камера</li>
<li>Подходит для всех основных типов термоусадочных пленок: ПОФ, ПВХ и др.</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Скорость конвейера: от 0 до 10 м/мин.</li>
<li>Максимальная нагрузка: 10 кг</li>
</ul>",94546,,220 В,6.5 кВт,1200 мм,650 мм,1100 мм,,,,0,,89749,,90 кг,,Китай,,напольная,,,,900х450х50-250 мм,
https://cdn.entero.ru/mp@2x/00/01/0001e8999800630d766a1d1b7295efaa.jpg,Термоусадочный упаковочный аппарат Hualian BSF-5540,Термоусадочный упаковочный аппарат Hualian BSF-5540,144348,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Термоусадочные упаковочные машины,https://entero.ru/item/94557,"<p>Термоусадочный упаковочный аппарат <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/94557"">Hualian BSF-5540</a></b> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для упаковки в пленку продуктов питания, напитков, медицинских препаратов, металлоизделий, косметики и другой продукции. Модель оснащена L-образным термоножом для обрезки и запайки и прозрачной крышкой камеры для контроля процесса упаковки.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Аккуратная отрезка и запайка без разрывов пленки и ее прилипания к запаивающему лезвию</li>
<li>Специальный механизм для предварительной перфорации пленки и удаления воздуха</li>
<li>Легкая подстройка под размер товаров</li>
<li>Экономичное электропотребление</li>
<li>Простая регулировка температуры усадки, продолжительности и высоты стола</li>
<li>Колеса облегчают перемещение по цеху</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Максимальный размер предмета для упаковки: 450х300х200 мм</li>
<li>Максимальный размер плоскости для запайки и отрезки: 550х400 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",94557,,220 В,4 кВт,1380 мм,690 мм,1065 мм,,,,0,,156900,,120 кг,,Китай,от 500 до 800 шт/час,напольная,,,,,
https://cdn.entero.ru/mp@2x/b0/2b/b02b076ac25252dc7d96e9b4329cf5fd.jpg;https://cdn.entero.ru/mp@2x/8a/9a/8a9adfb25f1b673e018994720221ec89.jpg;https://cdn.entero.ru/mp@2x/4d/36/4d36bf5c6b1cf95bed28e3a3ffbfc05c.jpg;https://cdn.entero.ru/mp@2x/1f/02/1f02956477dc3f43812c99dd27b61f4c.jpg;https://cdn.entero.ru/mp@2x/01/12/0112e734192ff323cfb4990422a02026.jpg;https://cdn.entero.ru/mp@2x/13/53/13530e52ae5560ee99ad5b7bdac63e8f.jpg;https://cdn.entero.ru/mp@2x/e2/02/e20260fae926e2a57151a2253ad2b4ce.jpg;https://cdn.entero.ru/mp@2x/31/76/317627f655811d372bb1a53e2c6071f0.jpg;https://cdn.entero.ru/mp@2x/f5/8f/f58fceb16aaaf8c377c08c3d2a6bea6b.jpg;https://cdn.entero.ru/mp@2x/61/d6/61d6f5b61c632a3188bc39a22f1fe8b1.jpg,Термоусадочный тоннель Foodatlas BS-G4525 Pro (380V),Термоусадочный тоннель Foodatlas BS-G4525 Pro (380V),70444,RUB,Да,Foodatlas,Профоборудование,Фасовочно-упаковочное,Термоусадочные упаковочные машины,https://entero.ru/item/85117,"<p>Термоусадочный туннель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/85117""><b class=""b"">Foodatlas BS-G4525 Pro</b></a> предназначен для усадки пленки при упаковке продуктов питания, напитков, медицинских препаратов, металлоизделий, косметики, книг, игрушек и другой продукции на предприятиях пищевой промышленности, общественного питания и торговли. Модель используется совместно с формирователем слоя пленки вокруг продукта.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Рабочая температура: от 0 до 400 °С</li>
<li>Количество нагревательных элементов: 6</li>
<li>Размер тоннеля: 910x450x250 мм</li>
<li>Мощность:
<ul>
<li>Номинальная: 7 кВт</li>
<li>Двигатель: 0,25 кВт</li>
<li>Нагревательные элементы: 6,5 кВт</li>
</ul>
</li>
<li>Габариты в упаковке: 1255x695x575 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",85117,,380 В,7 кВт,1200 мм,680 мм,1000 мм,,,,0,https://entero.ru/manuals/424117/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20BS-G4525%20Pro.docx,,,80 кг,,Китай,,напольная,,от 0 до 10 м/мин.,Да,,10 кг
https://cdn.entero.ru/mp@2x/65/37/6537e44967781039fbdc2014bf9ebd69.jpg;https://cdn.entero.ru/mp@2x/79/e2/79e2d593a0b6d924889f23e1e8e55594.jpg;https://cdn.entero.ru/mp@2x/79/4f/794fa2ac0fc7f82773ce0e066f00fff3.jpg,Термотоннель МАГИКОН BS-4020,00-00047045,52705,RUB,Да,,Профоборудование,Фасовочно-упаковочное,Термоусадочные упаковочные машины,https://entero.ru/item/185229,"<p>Термотоннель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/185229""><b class=""b"">МАГИКОН BS-4020 </b></a>предназначен для создания температурного коридора при упаковке товаров в термоусадочную пленку на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли. Идеально синхронизируется с термоножами <a href=""https://entero.ru/item/126896"">BSF-501</a> и <a href=""https://entero.ru/item/126902"">BSF-601</a>. Модель оснащена блоком управления. Корпус выполнен из окрашенной стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Используется в составе автоматических или полуавтоматических линий</li>
<li>Регулировка скорости транспортера</li>
<li>Регулировка температуры обдува воздухом</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Габариты тоннеля: 450х900х50-250 мм</li>
<li>Регулировка температуры от 0 до 300 °С</li>
<li>Размер упаковываемого товара:
<ul>
<li>Ширина: до 400 мм</li>
<li>Высота: до 200 мм</li>
<li>Длина: не ограничена</li>
</ul>
</li>
</ul>",185229,автоматический,,5.5 кВт,1100 мм,630 мм,750 мм,,,,0,,,,60 кг,,Китай,,настольная,,10 м/мин.,,,5 кг
https://cdn.entero.ru/mp@2x/69/b2/69b2b6363cb3a4ec3851496624b7b89e.jpg,Термоусадочный упаковочный аппарат Hualian BSF-5540A,BSF-5540 A,170936,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Термоусадочные упаковочные машины,https://entero.ru/item/94558,"<p>Термоусадочный упаковочный аппарат <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://m.entero.ru/item/94558"">Hualian BSF-5540A</a></b> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для упаковки в пленку продуктов питания, напитков, медицинских препаратов, металлоизделий, косметики и другой продукции. Модель оснащена L-образным термоножом для обрезки и запайки, прозрачной крышкой камеры для контроля процесса упаковки, приводным конвейером и отводящим рольтангом для готовой продукции.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Аккуратная отрезка и запайка без разрывов пленки и ее прилипания к запаивающему лезвию</li>
<li>Специальный механизм для предварительной перфорации пленки и удаления воздуха</li>
<li>Легкая подстройка под размер товаров</li>
<li>Экономичное электропотребление</li>
<li>Простая регулировка температуры усадки, продолжительности и высоты стола</li>
<li>Колеса облегчают перемещение по цеху</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Максимальный размер предмета для упаковки: 450х300х200 мм</li>
<li>Максимальный размер плоскости для запайки и отрезки: 550х400 мм</li>
</ul>",94558,,220 В,4.2 кВт,1985 мм,690 мм,1065 мм,,,,0,,,,140 кг,,Китай,от 800 до 1000 шт/час,напольная,,,,,
https://cdn.entero.ru/mp@2x/a4/36/a4362143fd9f50eeef466e964de7f824.jpg,Термоусадочный тоннель Hualian ET20,ET-20,39836,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Термоусадочные упаковочные машины,https://entero.ru/item/357779,"<p>Настольный термоусадочный тоннель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/357779"">Hualian ET20</a></b> предназначен для упаковки продуктов питания, напитков и другой продукции путем усадки полимерной пленки на предприятиях пищевой промышленности, общественного питания и торговли. Модель оснащена сегментным роликовым конвейером – рольгангом и электромеханической панелью управления. Внутренняя облицовка камеры выполнена из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Система равномерной циркуляции горячего воздуха для плотной фиксации пленки без деформации:
<ul>
<li>Лопасти вентилятора увеличенного диаметра</li>
<li>Регулируемый угол воздушного потока</li>
</ul>
</li>
<li>Электронный контроллер
<ul>
<li>Регулировка и контроль температуры усадки</li>
<li>Цифровая индикация температуры</li>
</ul>
</li>
<li>Бесступенчатая регулировка скорости конвейерной ленты с помощью поворотного переключателя</li>
<li>Кнопки активации функций колыбельного типа с интегрированными светодиодными индикаторами работы</li>
<li>Простое управление</li>
<li>Защита от перегрева</li>
<li>Подставка с 4 поворотными роликами для удобства транспортировки</li>
<li>Легкий доступ ко всем рабочим узлам для удобства обслуживания</li>
<li>Возможность круглосуточной работы без пауз</li>
<li>Эксплуатация в качестве самостоятельной модели либо в составе технологической линии</li>
<li>Компактные габариты для оптимизации пространства</li>
<li>Материалы термоусадочной пленки: полиолефин (ПОФ), поливинилхлорид (ПВХ) и другие</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Мощность вентилятора: 0,04 кВт</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Сеточный конвейер с тефлоновым покрытием</li>
</ul>",357779,автоматический,220 В,3.6 кВт,1000 мм,433 мм,638 мм,46 кг,1,1040x440x370 мм,0,,41496,,,Китай,Китай,,настольная,,от 0 до 10 м/мин.,Да,750х260х150 мм,5 кг
https://cdn.entero.ru/mp@2x/30/6c/306c9e3d9017082e2631f665dec16072.jpg;https://cdn.entero.ru/mp@2x/7d/71/7d7164e7ee45247630fff48a45af788d.jpg;https://cdn.entero.ru/mp@2x/8b/fc/8bfc7331f02a4bee5b09639621f41dda.jpg;https://cdn.entero.ru/mp@2x/5f/0b/5f0b55c4c46f5d2e068675c6823e89a2.jpg;https://cdn.entero.ru/mp@2x/49/85/49857a71cbeacd4c97002ccac3bef64c.jpg;https://cdn.entero.ru/mp@2x/c9/89/c989b11634ca56882c7538508728439d.jpg;https://cdn.entero.ru/mp@2x/34/3c/343c3a316da86171fe9cdb06242afd81.jpg;https://cdn.entero.ru/mp@2x/a2/e0/a2e0dbc1bf2508e0442e564fa5b9f2e0.jpg;https://cdn.entero.ru/mp@2x/4d/36/4d369f0126793008c864ce11911341a9.jpg;https://cdn.entero.ru/mp@2x/a8/a2/a8a2dd1c3621fbc39e54e0550a6acd14.jpg,Термоусадочный туннель Foodatlas BS-260 Eco,BS-260 Foodatlas Eco,42305,RUB,Да,Foodatlas,Профоборудование,Фасовочно-упаковочное,Термоусадочные упаковочные машины,https://entero.ru/item/103084,"<p>Термоусадочный туннель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/103084"">Foodatlas BS-260 Eco</a></b> предназначен для усадки PVC и POF пленок при упаковке продуктов питания, напитков, медицинских препаратов, металлоизделий, косметики, книг, игрушек и другой продукции на предприятиях пищевой промышленности, общественного питания и торговли. Аппарат используется совместно с формирователем слоя пленки вокруг продукта. Модель оснащена вентилятором в камере и защитными шторками. Корпус выполнен из окрашенного металла, ролики конвейера - из нержавеющей стали, шторки - из негорючей термоткани.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Ременчатый привод</li>
<li>Нагревательные элементы: кварцевые трубки</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Рабочая температура: от 0 до 200 °С</li>
<li>Максимальный размер упаковки: 240x150 мм</li>
<li>Количество нагревательных элементов: 7</li>
<li>Толщина материала корпуса: 0,8 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",103084,,220 В,3.5 кВт,1000 мм,460 мм,650 мм,,,,0,https://entero.ru/manuals/364191/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20BS-260%20Eco.pdf,44068,,35 кг,,Китай,,настольная,,от 0 до 10 м/мин.,,700x260x190 мм,5 кг
https://cdn.entero.ru/mp@2x/23/3d/233d7878b2cfc674df2ccae137e03f1e.jpg;https://cdn.entero.ru/mp@2x/42/a3/42a397763ea5f5c9bcc35a40e93705c1.jpg,Тоннель термоусадочный PACKVAC BS-4020,BS4020,47470,RUB,Да,PACKVAC,Профоборудование,Фасовочно-упаковочное,Термоусадочные упаковочные машины,https://entero.ru/item/188268,"<p>Термоусадочный тоннель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/188268"">PACKVAC BS-4020</a></b> предназначен для упаковки продуктов питания, электронных и химических товаров, игрушек, печатных материалов, производственной аппаратуры и другой продукции в термоусадочную пленку на предприятиях пищевой промышленности, общественного питания и торговли. Модель оснащена термостатом для отображения и регулировки температуры внутри термоусадочной камеры. Корпус выполнен из крашенного металла, конвейер - из металлической сетки.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулировка скорости конвейера</li>
<li>Отсутствие крышек и защелок</li>
<li>Возможность групповой упаковки небольших товаров</li>
<li>Тип пленки: полурукав</li>
<li>Материал пленки: полиолефин, ПВХ, полипропилен</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальные размеры продукта: 
<ul>
<li>Ширина: 400 мм</li>
<li>Высота: 200 мм</li>
</ul>
</li>
<li>Температура: до 300 °С</li>
<li>Габариты в упаковке: 1150х620х760 мм</li>
</ul>",188268,,380 В,6.6 кВт,1100 мм,570 мм,670 мм,,,,0,https://entero.ru/manuals/218974/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20PACKVAC%20BS4020.pdf,49448,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456240931&hash=d54c29ae17047fe5,50 кг,,Китай,,настольная,,от 1 до 10 м/мин.,Да,,10 кг
https://cdn.entero.ru/mp@2x/78/81/78813e7b28db9d8a91c90111b7db358f.jpg,Термоусадочный тоннель Hualian BS-4535LA 220В,Термоусадочный тоннель Hualian BS-4535LA 220В,116656,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Термоусадочные упаковочные машины,https://entero.ru/item/94548,"<p>Напольный термоусадочный тоннель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/94548""><b class=""b"">Hualian BS-4535LA</b></a> предназначен для усадки пленки при упаковке продуктов питания, напитков, медицинских препаратов, металлоизделий, косметики и другой продукции на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли. Модель оснащена электронным контролем температуры.</p>

<p>В комплект поставки входит ленточный или роликовый конвейер (вариант конвейера уточняйте у наших менеджеров).</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 двигатель обдува</li>
<li>Регулируемая скорость конвейерной ленты</li>
<li>Регулируемая по высоте камера</li>
<li>Подходит для всех основных типов термоусадочных пленок: ПОФ, ПВХ и др.</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Габариты камеры: 1200х450х50-350 мм</li>
</ul>",94548,,220 В,9.6 кВт,1600 мм,650 мм,1200 мм,,,,0,,124102,,120 кг,,Китай,,напольная,,от 0 до 10 м/мин.,,,30 кг
https://cdn.entero.ru/mp@2x/cd/b1/cdb17b94066e1e7ac62ced00e9a75ff0.jpg;https://cdn.entero.ru/mp@2x/71/c4/71c43b3cba68578d3c947841f66090ec.jpg;https://cdn.entero.ru/mp@2x/72/e6/72e646c46ede02e8d4e248740c0b92c4.jpg,Аппарат термоусадочный MARIPAK COMPACK 5800I,Аппарат термоусадочный MARIPAK COMPACK 5800I,255657,RUB,Да,MARIPAK,Профоборудование,Фасовочно-упаковочное,Термоусадочные упаковочные машины,https://entero.ru/item/63280,"<p>Упаковочная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/63280""><b class=""b"">MARIPAK COMPACK 5800 </b></a>используется на небольших заводах и предприятиях для упаковки пищевых продуктов, электронной продукции, печатных материалов, игрушек и др. в пленку методом термоусадки. Оборудование соответствует стандартам Совета Европы и России по гигиене и безопасности.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Одновременно происходит формирование упаковки и термоусадка</li>
<li>Высокая производительность с низким потреблением энергии</li>
<li>Перфораторы для микроотверстий выпуска воздуха</li>
<li>Подстройка к различным продуктам</li>
<li>Регулируемая сваривающая планка для разных толщин плёнок</li>
<li>Изменяемые размеры упаковки</li>
<li>Приспосабливаемая длина вставки стола</li>
<li>Практичное размещение рулона плёнки, лёгкость в разматывании</li>
<li>Пластина, для разделения слоёв плёнки</li>
<li>Легко заменяемые электрические компоненты</li>
<li>Один оператор</li>
<li>Дополнительный магнитный держатель:
<ul>
<li>Для контроля сварки плёнок</li>
<li>Для контроля подачи горячего воздуха</li>
<li>Преимущество во времени - одновременно с циклом можно вставлять в плёнку следующую упаковку</li>
</ul>
</li>
<li>Лезвие с керамической основой</li>
<li>Тип плёнки Poliolefin, PVC</li>
<li>Колеса облегчают перемещение по цеху</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер формирователя: 450x580 мм</li>
<li>Ширина используемой плёнки: 500 мм</li>
</ul>",63280,,220 В,4.4 кВт,1200 мм,800 мм,770 мм,,,,0,https://entero.ru/manuals/408626/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20MARIPAK%20COMPACK%205800I.pdf,266309,,150 кг,Турция,,400 шт/час,напольная,,,,,
https://cdn.entero.ru/mp@2x/04/33/043356b26804897373c2aae859b9b79b.jpg,Тоннель термоусадочный PACKVAC BS4525,E2246,69949,RUB,Да,PACKVAC,Профоборудование,Фасовочно-упаковочное,Термоусадочные упаковочные машины,https://entero.ru/item/188279,"<p>Термоусадочный тоннель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/188279"">PACKVAC BS4525</a></b> предназначен для упаковки продуктов питания, электронных и химических товаров, игрушек, печатных материалов, производственной аппаратуры и другой продукции в термоусадочную пленку на предприятиях пищевой промышленности, общественного питания и торговли. Модель оснащена регулятором температуры внутри термоусадочной камеры и роликовым конвейером. Корпус выполнен из крашенного металла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электронный контроль температуры</li>
<li>Регулировка скорости конвейера</li>
<li>Регулировка высоты печи</li>
<li>Регулировка направления воздушного потока</li>
<li>Нагревание путем рассеивания тепла позволяет экономить электроэнергию</li>
<li>Отсутствие крышек и защелок</li>
<li>Возможность групповой упаковки небольших товаров</li>
<li>Тип пленки: полурукав</li>
<li>Материал пленки: полиолефин, ПВХ, полипропилен</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальные размеры продукта: 
<ul>
<li>Ширина: 450 мм</li>
<li>Высота: 250 мм</li>
</ul>
</li>
<li>Температура: до 300 °С</li>
<li>Толщина пленки:
<ul>
<li>PVC: от 0,01 до 0,06 мм</li>
<li>PP: от 0,01 до 0,04 мм</li>
<li>POF: от 0,01 до 0,03 мм</li>
</ul>
</li>
<li>Габариты в упаковке: 1200х700х1000 мм</li>
</ul>",188279,,380 В,6.5 кВт,1140 мм,680 мм,940 мм,,,,0,https://entero.ru/manuals/218985/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20PACKVAC%20BS4525.pdf,,,91 кг,,Китай,,напольная,,от 1 до 10 м/мин.,Да,,15 кг
