Изображения,Название,Артикул,Цена,Валюта,Наличие,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Ширина,Остаток,Файлы,Старая цена,Страна-производитель,Длина,Количество в упаковке,Конфигурация,Количество слоев
https://cdn.entero.ru/mp@2x/13/3d/133dbd2aeee53f9792eceaed327f337a.jpg,"Полотенца бумажные Merida ТОП АВТОМАТИК МАКСИ 2-слойные, белые (6х200 м)",БПАТ301,4649,RUB,Да,Профоборудование,Оборудование для общественных санузлов,Расходные материалы,https://entero.ru/item/245138,"<p>Бумажные полотенца <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/245138""><b class=""b"">Merida ТОП ПРИНТ АВТОМАТИК МАКСИ </b></a>предназначены для использования с автоматическими <a href=""https://entero.ru/search.php?text=%D0%B4%D0%B8%D1%81%D0%BF%D0%B5%D0%BD%D1%81%D0%B5%D1%80+%D0%B4%D0%BB%D1%8F+%D0%BF%D0%BE%D0%BB%D0%BE%D1%82%D0%B5%D0%BD%D0%B5%D1%86+MERIDA+MAXI"">диспенсерами для бумажных полотенец Merida MAXI</a> в общественных санитарных узлах офисов, предприятий общепита, медицинских учреждений и других мест большой проходимости. Полотенца изготовлены из полностью безопасной и гипоаллергенной натуральной целлюлозы, упаковка - из полиэтилена.</p>

<p>В комплект поставки входят 6 рулонов по 200 метров. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Перфорация и тиснение</li>
<li>Плотное хорошо впитывающее бумажное полотно </li>
<li>Гигиеничность и экономичный расход</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Плотность: 2х19 гр/м<sup>2</sup></li>
<li>Диаметр рулона: 190 мм </li>
<li>Ддиаметр втулки: 40 мм </li>
<li>Длина рулона: 200 м </li>
<li>Высота: 200 мм </li>
</ul>

<p><b>Опции (заказываются отдельно): </b></p>

<ul>
<li>Возможность изготовления с логотипом</li>
</ul>",245138,бумажные полотенца,,0,https://entero.ru/manuals/296181/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Merida%20%D0%A2%D0%9E%D0%9F%20%D0%90%D0%92%D0%A2%D0%9E%D0%9C%D0%90%D0%A2%D0%98%D0%9A%20%D0%9C%D0%90%D0%9A%D0%A1%D0%98%202-%D1%81%D0%BB%D0%BE%D0%B9%D0%BD%D1%8B%D0%B5_%20%D0%B1%D0%B5%D0%BB%D1%8B%D0%B5%20%286%D1%85200%20%D0%BC%29.pdf;https://entero.ru/manuals/480101/%D0%A1%D0%B2%D0%B8%D0%B4%D0%B5%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE%20%D0%BE%20%D0%B3%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9%20%D1%80%D0%B5%D0%B3%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%86%D0%B8%D0%B8.pdf;https://entero.ru/manuals/480113/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/480130/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,5740,Россия,,6 шт.,в рулонах,2
https://cdn.entero.ru/mp@2x/49/62/496252092d32224731f088a7b5f9d913.jpg,"Бумага туалетная Merida TOP MINI 2-слойная, универсальная (12х100 cм)",ТБТ706 TB6201,2056,RUB,Да,Профоборудование,Оборудование для общественных санузлов,Расходные материалы,https://entero.ru/item/244832,"<p>Туалетная бумага <a style=""text-decoration:none;cursor:text;"" href=""http://entero.kz/item/244832""><b class=""b"">Merida TOP MINI </b></a>предназначена для использования совместно с традиционными штанговыми держателями или коммерческими настенными диспенсерами в общественных санитарных узлах офисов, предприятий общепита, медицинских учреждений и других местах большой проходимости.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Перфорация</li>
<li>Экономичный расход</li>
<li>Хорошая впитываемость</li>
<li>Улучшенное качество</li>
<li>Мягкость и белизна</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Масса бумаги: 2х16 гр/м<sup>2</sup></li>
<li>
<p>Размер листа: 100х240 мм </p>
</li>
</ul>",244832,туалетная бумага,100 мм,0,https://entero.ru/manuals/480110/%D0%A1%D0%B2%D0%B8%D0%B4%D0%B5%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE%20%D0%BE%20%D0%B3%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9%20%D1%80%D0%B5%D0%B3%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%86%D0%B8%D0%B8.pdf;https://entero.ru/manuals/480126/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/480144/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,Россия,1000 мм,12 шт.,в рулонах,2
https://cdn.entero.ru/mp@2x/f1/e7/f1e7d4d5e4b575f7e883e7150201236a.jpg,"Полотенца бумажные Merida ОПТИМУМ АВТОМАТИК МАКСИ 1-слойные, белые (6х240 м)","Полотенца бумажные Merida ОПТИМУМ АВТОМАТИК МАКСИ 1-слойные, белые (6х240 м)",4423,RUB,Да,Профоборудование,Оборудование для общественных санузлов,Расходные материалы,https://entero.ru/item/245169,"<p>Бумажные полотенца <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/245169""><b class=""b"">Merida ОПТИМУМ АВТОМАТИК МАКСИ </b></a>предназначены для использования с автоматическими <a href=""https://entero.ru/search.php?text=%D0%B4%D0%B8%D1%81%D0%BF%D0%B5%D0%BD%D1%81%D0%B5%D1%80%20%D0%B4%D0%BB%D1%8F%20%D0%BF%D0%BE%D0%BB%D0%BE%D1%82%D0%B5%D0%BD%D0%B5%D1%86%20MERIDA%20MAXI&cid=1914"">диспенсерами для бумажных полотенец Merida</a> в общественных санитарных узлах офисов, предприятий общепита, медицинских учреждений и других мест большой проходимости. Полотенца изготовлены из полностью безопасной и гипоаллергенной натуральной целлюлозы, упаковка - из полиэтилена.</p>

<p>В комплект поставки входят 6 рулонов по 240 метров. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Плотное хорошо впитывающее бумажное полотно </li>
<li>Гигиеничность и экономичный расход</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Плотность: 35 гр/м<sup>2</sup></li>
<li>Высота рулона: 200 мм </li>
<li>Длина рулона: 240 м </li>
</ul>

<p><b>Опции (заказываются отдельно): </b></p>

<ul>
<li>Возможность изготовления с логотипом</li>
</ul>",245169,бумажные полотенца,,0,,,Россия,,6 шт.,в рулонах,1
https://cdn.entero.ru/mp@2x/5a/c0/5ac0044e0ab4b52371a13b1e15c924f5.jpg,"Салфетки косметические Merida ТОП 2-слойные, в картонном боксе, белые, 100 шт.","Салфетки косметические Merida ТОП 2-слойные, в картонном боксе, белые, 100 шт.",120,RUB,Да,Профоборудование,Оборудование для общественных санузлов,Расходные материалы,https://entero.ru/item/245319,"<p>Косметические салфетки <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/245319""><b class=""b"">Merida ТОП </b></a>предназначены для использования в общественных зонах со средней и большой проходимостью, в торгово-развлекательных центрах, фудкортах, АЗС, офисных зданиях, медицинских и образовательных учреждениях и на объектах транспорта, в косметологических кабинетах и бьюти-зонах. Салфетки выполнены из целлюлозы. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Гигиеничность и экономичный расход</li>
<li>Быстрая впитываемость </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Масса бумаги: 2x19 гр/м<sup>2</sup></li>
<li>Размер пачки: 230х50х115 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Возможность изготовления с логотипом</li>
</ul>",245319,бумажные полотенца,200 мм,0,,162,Россия,200 мм,100 шт.,листовые,2
https://cdn.entero.ru/mp@2x/93/92/9392a3d2cbae58142424c8cd9b08a478.jpg;https://cdn.entero.ru/mp@2x/38/1b/381b0c51287c3c04f8bf42447015c4e4.jpg,"Полотенца бумажные Merida ТОП МИНИ 2-слойные, бытовые, белые (2х12,5 м)","Полотенца бумажные Merida ТОП МИНИ 2-слойные, бытовые, белые (2х12,5 м)",144,RUB,Да,Профоборудование,Оборудование для общественных санузлов,Расходные материалы,https://entero.ru/item/245200,"<p>Бумажные полотенца <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/245200""><b class=""b"">Merida ТОП МИНИ </b></a>предназначены для использования с диспенсерами с центральной вытяжкой (изнутри рулона) в общественных санитарных узлах офисов, предприятий общепита, медицинских учреждений и других мест с большой проходимостью. Полотенца изготовлены из целлюлозы, упаковка - из полиэтилена. </p>

<p>В комплект поставки входят 2 рулона по 12,5 метров. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Тиснение и перфорация </li>
<li>Быстрая впитываемость и высокая прочность</li>
<li>Плотное хорошо впитывающее бумажное полотно </li>
<li>Гигиеничность и экономичный расход</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Плотность: 2х19 гр/м<sup>2</sup></li>
<li>Высота рулона: 200 мм</li>
<li>Диаметр рулона: 180 мм </li>
</ul>

<p><b>Опции (заказываются отдельно): </b></p>

<ul>
<li>Возможность изготовления с логотипом</li>
</ul>",245200,бумажные полотенца,,0,,189,Россия,,2 шт.,в рулонах,2
https://cdn.entero.ru/mp@2x/5d/42/5d42721e963b027a201019b9053b0c2c.jpg,Пакеты для гигиенических прокладок Merida 30 шт.,Пакеты для гигиенических прокладок Merida 30 шт.,252,RUB,Да,Профоборудование,Оборудование для общественных санузлов,Расходные материалы,https://entero.ru/item/245476,"<p>Пакеты для гигиенических прокладок <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/245476""><b class=""b"">Merida TAA901 </b></a>предназначены для использования в женских санузлах в общественных зонах со средней и большой проходимостью, в торгово-развлекательных центрах, фудкортах, АЗС, офисных зданиях, медицинских и образовательных учреждениях и на объектах транспорта, в косметологических кабинетах и бьюти-зонах.</p>",245476,пакеты для гигиенических принадлежностей,,0,https://entero.ru/manuals/480111/%D0%A1%D0%B2%D0%B8%D0%B4%D0%B5%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE%20%D0%BE%20%D0%B3%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9%20%D1%80%D0%B5%D0%B3%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%86%D0%B8%D0%B8.pdf;https://entero.ru/manuals/480128/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/480146/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,355,Россия,,30 шт.,,
https://cdn.entero.ru/mp@2x/ba/59/ba5989a6c46dcd736f2147ec60626954.jpg,"Полотенца бумажные Merida 2-слойные, бытовые, белые с клапаном (200 листов)","Полотенца бумажные Merida 2-слойные, бытовые, белые с клапаном (200 листов)",288,RUB,Да,Профоборудование,Оборудование для общественных санузлов,Расходные материалы,https://entero.ru/item/245112,"<p>Бумажные полотенца <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/245112""><b class=""b"">Merida БПЛ200 </b></a>предназначены для использования с <a href=""https://entero.ru/list/1914?f%5Bvendors%5D%5B%5D=1962&f%5B6673%5D%5B%5D=%D0%B1%D1%83%D0%BC%D0%B0%D0%B6%D0%BD%D1%8B%D0%B5+%D0%BF%D0%BE%D0%BB%D0%BE%D1%82%D0%B5%D0%BD%D1%86%D0%B0"">диспенсерами для бумажных полотенец</a> в общественных санитарных узлах офисов, предприятий общепита, медицинских учреждений и других мест большой проходимости. Полотенца изготовлены из полностью безопасной и гипоаллергенной натуральной целлюлозы. </p>

<p>В комплект поставки входит 1 пачка - 200 листов. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Плотное хорошо впитывающее бумажное полотно </li>
<li>Полистовая подача полотенец</li>
<li>Гигиеничность и экономичный расход</li>
<li>Тип сложения: V-сложение </li>
<li>Упаковка полностью герметична</li>
<li>Отрывной клапан</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество листов в пачке: 200 </li>
<li>Плотность: 2х17 гр/м<sup>2</sup></li>
<li>Размер полотенца: 230х220 мм</li>
<li>Размер пачки: 230х110 мм</li>
</ul>

<p><b>Опции (заказываются отдельно): </b></p>

<ul>
<li>Возможность изготовления с логотипом</li>
</ul>",245112,бумажные полотенца,,0,,,Россия,,1 шт.,листовые,2
https://cdn.entero.ru/mp@2x/e6/b1/e6b18efb53e1f5f57aa055358799cfb2.jpg,"Бумага туалетная Merida СУПЕРЭКОНОМ МИНИ 1-слойная, (12х200 cм)",ТБЭ200 TB2103,1236,RUB,Да,Профоборудование,Оборудование для общественных санузлов,Расходные материалы,https://entero.ru/item/244830,"<p>Туалетная бумага <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/244830""><b class=""b"">Merida СУПЕРЭКОНОМ МИНИ </b></a>предназначена для использования совместно с традиционными штанговыми держателями или коммерческими настенными диспенсерами в общественных санитарных узлах офисов, предприятий общепита, медицинских учреждений и других местах большой проходимости. Бумага изготовлена из светло-серой макулатуры, упаковка - из полиэтилена. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Экономичный расход</li>
<li>Хорошая впитываемость</li>
<li>Улучшенное качество</li>
<li>Мягкость и белизна</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Масса бумаги: 26 гр/м<sup>2</sup></li>
<li>Диаметр: 160 мм</li>
<li>Втулка: 60 мм</li>
<li>Высота рулона: 90 мм </li>
</ul>",244830,туалетная бумага,2000 мм,0,,,Россия,,12 шт.,в рулонах,1
https://cdn.entero.ru/mp@2x/54/df/54df69cd89b75dd4f4fdaa51d66138dc.jpg,"Бумага туалетная Merida ЭКОНОМ МАКСИ 1-слойная, (6х350 м)",ТБЭ112 TB3101,1308,RUB,Да,Профоборудование,Оборудование для общественных санузлов,Расходные материалы,https://entero.ru/item/244835,"<p>Туалетная бумага <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/244835""><b class=""b"">Merida ЭКОНОМ МАКСИ </b></a>предназначена для использования совместно с традиционными штанговыми держателями или коммерческими настенными диспенсерами в общественных санитарных узлах офисов, предприятий общепита, медицинских учреждений и других местах большой проходимости. Бумага изготовлена из светло-серой отборной макулатуры, упаковка - из полиэтилена. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Микротиснение</li>
<li>Экономичный расход</li>
<li>Хорошая впитываемость</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Масса бумаги: 27 гр/м<sup>2</sup></li>
<li>Диаметр: 230 мм</li>
</ul>",244835,туалетная бумага,95 мм,0,https://entero.ru/manuals/295550/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Merida%20%D0%AD%D0%9A%D0%9E%D0%9D%D0%9E%D0%9C%20%D0%9C%D0%90%D0%9A%D0%A1%D0%98%201-%D1%81%D0%BB%D0%BE%D0%B9%D0%BD%D0%B0%D1%8F_%20%286%D1%85350%20%D0%BC%29.pdf,1635,Россия,3500 мм,6 шт.,в рулонах,1
https://cdn.entero.ru/mp@2x/18/79/18792a3caf3e4e7707ed7ab424002e78.jpg,"Бумага туалетная Merida ЭКОНОМ МАКСИ 1-слойная, (4х450 cм)",ТБЭ001,1428,RUB,Да,Профоборудование,Оборудование для общественных санузлов,Расходные материалы,https://entero.ru/item/245032,"<p>Туалетная бумага <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/245032""><b class=""b"">Merida ЭКОНОМ МАКСИ </b></a>предназначена для использования совместно с традиционными штанговыми держателями или коммерческими настенными диспенсерами в общественных санитарных узлах офисов, предприятий общепита, медицинских учреждений и других местах большой проходимости. Бумага изготовлена из водоразлагаемой макулатуры, упаковка - из полиэтилена.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Экономичный расход</li>
<li>Хорошая впитываемость</li>
<li>Улучшенное качество</li>
<li>Мягкость и белизна</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Масса бумаги: 1х26 гр/м<sup>2</sup></li>
<li>Диаметр втулки: 60 мм</li>
<li>Диаметр рулона: 250 мм</li>
</ul>",245032,туалетная бумага,90 мм,0,https://entero.ru/manuals/296062/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Merida%20%D0%AD%D0%9A%D0%9E%D0%9D%D0%9E%D0%9C%20%D0%9C%D0%90%D0%9A%D0%A1%D0%98%201-%D1%81%D0%BB%D0%BE%D0%B9%D0%BD%D0%B0%D1%8F_%20%284%D1%85450%20c%D0%BC%29.pdf,2011,Россия,4500 мм,4 шт.,в рулонах,1
https://cdn.entero.ru/mp@2x/e5/a7/e5a706fc3c594ec54ad9cc861703bdd6.jpg,"Бумага туалетная Merida КЛАССИК МИНИ 1-слойная, отбеленная (12х180 м)",ТБК203,1452,RUB,Да,Профоборудование,Оборудование для общественных санузлов,Расходные материалы,https://entero.ru/item/245027,"<p>Туалетная бумага <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/245027""><b class=""b"">Merida КЛАССИК МИНИ </b></a>предназначена для использования совместно с традиционными штанговыми держателями или коммерческими настенными диспенсерами <a href=""https://entero.ru/list/1914/vendor/merida/"">Merida Mini и Maxi</a> в общественных санитарных узлах офисов, предприятий общепита, медицинских учреждений и других местах большой проходимости. Бумага изготовлена из водоразлагаемой макулатуры.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Микротиснение</li>
<li>Перфорация </li>
<li>Экономичный расход</li>
<li>Хорошая впитываемость</li>
<li>Улучшенное качество</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Плотность: 28 гр/м<sup>2</sup></li>
<li>Шаг перфорации: 110 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Возможность изготовления с логотипом</li>
</ul>",245027,туалетная бумага,95 мм,0,https://entero.ru/manuals/296052/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/296053/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Merida%20%D0%9A%D0%9B%D0%90%D0%A1%D0%A1%D0%98%D0%9A%20%D0%9C%D0%98%D0%9D%D0%98%201-%D1%81%D0%BB%D0%BE%D0%B9%D0%BD%D0%B0%D1%8F_%20%D0%BE%D1%82%D0%B1%D0%B5%D0%BB%D0%B5%D0%BD%D0%BD%D0%B0%D1%8F%20%2812%D1%85180%20%D0%BC%29.pdf,1911,Россия,1800 мм,12 шт.,в рулонах,1
https://cdn.entero.ru/mp@2x/4f/54/4f54719e0ec51133362d0abb46616b27.jpg,"Бумага туалетная Merida ЭКОНОМ МИНИ 1-слойная, (12х200 cм)",ТБЭ310 TB2101,1464,RUB,Да,Профоборудование,Оборудование для общественных санузлов,Расходные материалы,https://entero.ru/item/244831,"<p>Туалетная бумага <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/244831""><b class=""b"">Merida ЭКОНОМ МИНИ </b></a>предназначена для использования совместно с традиционными штанговыми держателями или коммерческими настенными диспенсерами в общественных санитарных узлах офисов, предприятий общепита, медицинских учреждений и других местах большой проходимости. Бумага изготовлена из водоразлагаемой макулатуры, упаковка - из полиэтилена.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Экономичный расход</li>
<li>Хорошая впитываемость</li>
<li>Улучшенное качество</li>
<li>Мягкость и белизна</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Масса бумаги: 1х27 гр/м<sup>2</sup></li>
<li>Диаметр: 190 мм</li>
</ul>",244831,туалетная бумага,95 мм,0,,,Россия,2000 мм,12 шт.,в рулонах,1
https://cdn.entero.ru/mp@2x/9b/1a/9b1a4888fc08091dd930031f2ed4ed4e.jpg,"Бумага туалетная Merida КЛАССИК МИНИ 1-слойная, белая (12х200 cм)",TB2302,1668,RUB,Да,Профоборудование,Оборудование для общественных санузлов,Расходные материалы,https://entero.ru/item/244828,"<p>Туалетная бумага <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/244828""><b class=""b"">Merida КЛАССИК МИНИ </b></a>предназначена для использования совместно с традиционными штанговыми держателями или коммерческими настенными диспенсерами в общественных санитарных узлах офисов, предприятий общепита, медицинских учреждений и других местах большой проходимости.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Экономичный расход</li>
<li>Хорошая впитываемость</li>
<li>Улучшенное качество</li>
<li>Мягкость и белизна</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Масса бумаги: 22 гр/м<sup>2</sup></li>
<li>Высота рулона: 90 мм </li>
</ul>",244828,туалетная бумага,2000 мм,0,,,Россия,,12 шт.,в рулонах,1
https://cdn.entero.ru/mp@2x/45/bd/45bdc9fda229005fb9d1cc26b8d37f69.jpg,"Салфетки бумажные Merida КЛАССИК 1-слойные, белые, 24х24 см","Салфетки бумажные Merida КЛАССИК 1-слойные, белые, 24х24 см",2328,RUB,Да,Профоборудование,Оборудование для общественных санузлов,Расходные материалы,https://entero.ru/item/245305,"<p>Бумажнные салфетки <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/245305""><b class=""b"">Merida КЛАССИК </b></a>предназначены для использования с настольными диспенсерами в общественных санитарных узлах офисов, предприятий общепита, медицинских учреждений и других мест с большой проходимостью. </p>

<p>В комплект поставки входят 48 пачек по 100 листов. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Гигиеничность и экономичный расход</li>
<li>Быстрая впитываемость </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Масса бумаги: 17 гр/м<sup>2</sup></li>
<li>Размер сложенной салфетки: 120х120 мм </li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Возможность изготовления с логотипом</li>
</ul>",245305,бумажные полотенца,240 мм,0,,3233,Россия,240 мм,48 шт.,листовые,1
https://cdn.entero.ru/mp@2x/aa/df/aadfea5663aa234c90551a3dc01b93b6.jpg,"Бумага туалетная Merida TOP MAXI 2-слойная, белая (6х240 м)",ТБТ101 TB3401,2520,RUB,Да,Профоборудование,Оборудование для общественных санузлов,Расходные материалы,https://entero.ru/item/244837,"<p>Туалетная бумага <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/244837""><b class=""b"">Merida TOP MAXI </b></a>предназначена для использования совместно с традиционными штанговыми держателями или коммерческими настенными диспенсерами в общественных санитарных узлах офисов, предприятий общепита, медицинских учреждений и других местах большой проходимости. Бумага изготовлена из целлюлозы, упаковка - из полиэтилена. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Перфорация</li>
<li>Микротиснение</li>
<li>Экономичный расход</li>
<li>Хорошая впитываемость</li>
<li>Улучшенное качество</li>
<li>Мягкость и белизна</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество листов в 1 рулоне: 1500</li>
<li>Масса бумаги: 2х16 гр/м<sup>2</sup></li>
<li>Диаметр рулона: 230 мм</li>
<li>Шаг перфорации: 160 мм </li>
</ul>",244837,туалетная бумага,90 мм,0,https://entero.ru/manuals/295552/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Merida%20TOP%20MAXI%202-%D1%81%D0%BB%D0%BE%D0%B9%D0%BD%D0%B0%D1%8F_%20%D0%B1%D0%B5%D0%BB%D0%B0%D1%8F%20%286%D1%85240%20%D0%BC%29.pdf,,Россия,2400 мм,6 шт.,в рулонах,2
https://cdn.entero.ru/mp@2x/88/8a/888ae8c536b959fa68531e46bcb5dfeb.jpg,"Бумага туалетная Merida ТОП ПРИНТ МИНИ 2-слойная, белая с синим тиснением (12х170 cм)",TB2403,3257,RUB,Да,Профоборудование,Оборудование для общественных санузлов,Расходные материалы,https://entero.ru/item/244827,"<p>Туалетная бумага <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/244827""><b class=""b"">Merida ТОП ПРИНТ МИНИ </b></a>предназначена для использования совместно с традиционными штанговыми держателями или коммерческими настенными диспенсерами в общественных санитарных узлах офисов, предприятий общепита, медицинских учреждений и других местах большой проходимости. Бумага изготовлена из 100% водоразлагаемой целлюлозы.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Цветное тиснение</li>
<li>Перфорация</li>
<li>Экономичный расход</li>
<li>Хорошая впитываемость</li>
<li>Улучшенное качество</li>
<li>Мягкость и белизна</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Масса бумаги: 2х16 гр/м<sup>2</sup></li>
<li>Диаметр: 190 мм </li>
<li>Высота рулона: 90 мм </li>
</ul>",244827,туалетная бумага,1700 мм,0,https://entero.ru/manuals/480109/%D0%A1%D0%B2%D0%B8%D0%B4%D0%B5%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE%20%D0%BE%20%D0%B3%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9%20%D1%80%D0%B5%D0%B3%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%86%D0%B8%D0%B8.pdf;https://entero.ru/manuals/480124/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/480142/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,4123,Россия,,12 шт.,в рулонах,2
