Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Объем,Цвет,Материал корпуса,Уровень шума,Страна бренда,Регулятор темературы
https://cdn.entero.ru/mp@2x/f5/78/f578e1e32dacefeeeb1c0ea8c7a18ef2.jpg;https://cdn.entero.ru/mp@2x/2b/32/2b3290d1f75ee2d4696751b8cbe38bbc.jpg,Чайник Clatronic WKS 3744,Чайник Clatronic WKS 3744,3587,RUB,Да,,Бытовая техника,Техника для кухни,Чайники,https://entero.ru/item/226478,"<p>Чайник <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/226478""><b class=""b"">Tristar WKS 3744</b></a> предназначен для нагрева и кипячения воды при приготовлении чая и кофе в частных домах, квартирах, отелях и офисах. Модель оснащена запираемой откидной крышкой и индикатором уровня воды. Корпус, нагревательный элемент и покрытие базовой станции выполнены из нержавеющей стали, колба - из термостойкого стекла.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Вращение на 360° на подставке</li>
<li>Простота и удобство использования благодаря беспроводной технологии</li>
<li>Автоматическое / ручное отключение</li>
<li>Скрытый нагревательный элемент</li>
<li>Защита от перегрева и выкипания</li>
<li>Место для хранения кабеля</li>
<li>Стильный дизайн</li>
</ul>",226478,220 В,2.2 кВт,,,,,Китай,,,0,https://entero.ru/manuals/272908/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Clatronic%20WKS%203744.pdf,,,1.05 кг,1.7 л,нерж. сталь,"нерж. сталь, стекло",,Германия,
https://cdn.entero.ru/mp@2x/1e/e8/1ee81414e95c03db6f130d33f830c9a0.jpg;https://cdn.entero.ru/mp@2x/dd/4b/dd4bf7381d32b5c342a393a55910a09b.jpg;https://cdn.entero.ru/mp@2x/66/29/6629ba0713e540a62eff772b477fdf08.jpg;https://cdn.entero.ru/mp@2x/b2/51/b25154ffe0c580c67d51bd2d2562eeec.jpg;https://cdn.entero.ru/mp@2x/94/1d/941db4fed050cc25af51873b166d412a.jpg;https://cdn.entero.ru/mp@2x/64/8b/648b07509d330ae3cea2ffdee26fb36f.jpg;https://cdn.entero.ru/mp@2x/66/81/668108460f1e84d6eae0e6fa4b00f0a0.jpg;https://cdn.entero.ru/mp@2x/48/d5/48d5772ef4eca24ce6bfeded79fb4e77.jpg;https://cdn.entero.ru/mp@2x/cb/fd/cbfdaf8303405f44b1701b22882bb457.jpg;https://cdn.entero.ru/mp@2x/9d/c5/9dc5f3ebd3a5944fe2cedf69339a8d48.jpg;https://cdn.entero.ru/mp@2x/fa/f6/faf6d6ac9b9a83fe9e57ea8b305bb819.jpg;https://cdn.entero.ru/mp@2x/4e/64/4e6484531198bb5990b207ca8c5835c1.jpg;https://cdn.entero.ru/mp@2x/74/81/74811425363b0624b320596997b1e442.jpg,Чайник электрический Libhof DK-1720 white белый,DK-1720W,2961,RUB,Да,,Бытовая техника,Техника для кухни,Чайники,https://entero.ru/item/365908,"<p>Электрический чайник <a style=""text-decoration:none;cursor:text;"" href=""http://entero.by/item/365908""><b class=""b"">Libhof DK-1720</b></a> предназначен для подогрева воды и приготовления горячих напитков в отелях, офисах и домашних условиях. Модель оснащена круглой подставкой, кабелем питания с вилкой, откидной крышкой, интегрированным в кромку емкости изливом, дугообразной рукояткой, расположенными на стенке сенсорной панелью управления и светодиодным цифровым дисплеем с белой подсветкой индикации. Подставка, внешняя облицовка корпуса и крышки выполнены из белого пластика, бесшовная внутренняя облицовка корпуса и крышки – из высококачественной пищевой нержавеющей стали марки SUS304.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Функции:
<ul>
<li>Закипание</li>
<li>Поддержание тепла:
<ul>
<li>5 вариантов заданной температуры</li>
<li>Энергосберегающее автоматическое отключение при длительном отсутствии действий соответственно заданной температуре</li>
</ul>
</li>
</ul>
</li>
<li>Автоматическое выключение при закипании</li>
<li>Удобно расположенная на рукоятке кнопка открывания крышки</li>
<li>Цифровая индикация актуальной температуры</li>
<li>Светодиодные сигнальные индикаторы питания, активации нагрева и функции поддержания тепла</li>
<li>Звуковая сигнализация для оповещения о достижении заданной температуры и неисправностях</li>
<li>Самодиагностика с индикацией кодов неисправностей</li>
<li>Мелкоячеистый сетчатый фильтр от накипи</li>
<li>Отметки минимального и максимального уровня заполнения на внутренней стенке</li>
<li>Закрытый дисковый нагревательный элемент для минимизации накипи и удобства очистки емкости</li>
<li>Защита от перегрева и «сухого» нагрева</li>
<li>Термоизолированные корпус и рукоятка</li>
<li>Установка на подставку в любом положении</li>
<li>Эргономичный стильный дизайн</li>
</ul>

<p><b>​Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон заданной температуры при поддержании тепла: 40 / 50 / 60 / 80 / 90 °C</li>
<li>Номинальная сила тока: 8,4 А</li>
<li>Максимальная длительность функции поддержания тепла до автоматического отключения:
<ul>
<li>40 °С: 8 ч</li>
<li>50 °С: 6 ч</li>
<li>60 °С: 4 ч</li>
<li>80 / 90 °С: 2 ч</li>
</ul>
</li>
<li>Средний срок эксплуатации: 5 л.</li>
<li>Угол вращения на подставке: 360°</li>
<li>Длина кабеля питания: 700 мм</li>
<li>Диаметр подставки: 155 мм</li>
</ul>",365908,220 В,от 1.85 до 2.2 кВт,155 мм,212 мм,266 мм,1.35 кг,,1,195x245x270 мм,0,https://entero.ru/manuals/476723/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Libhof%20DK-1720.pdf,,,1 кг,1.7 л,белый,"нерж. сталь, пластик",,Словакия,
https://cdn.entero.ru/mp@2x/ad/47/ad475e9a2381c4a40883ba5639198eb3.jpg;https://cdn.entero.ru/mp@2x/d1/d1/d1d198253cf57c27cc7d7be4a36e1e71.jpg,Чайник HENDI 209981,Чайник HENDI 209981,4090,RUB,Да,HENDI,Бытовая техника,Техника для кухни,Чайники,https://entero.ru/item/290560,"<p>Электрический чайник ​<a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/290560""><b class=""b"">HENDI 209981</b></a> предназначен для быстрого подогрева воды в частных домах и квартирах. </p>",290560,220 В,1.8 кВт,163 мм,221 мм,249 мм,,Нидерланды,,,0,,,,0.8 кг,1.8 л,нерж. сталь,нерж. сталь,,,
https://cdn.entero.ru/mp@2x/d1/c3/d1c31e28c5be7bff116520b7c04a3b35.jpg;https://cdn.entero.ru/mp@2x/c0/ea/c0eaac24ff4e48c8e54fe4b3c8d58a5e.jpg;https://cdn.entero.ru/mp@2x/1c/00/1c00764ae9f571d0978e5ffdff72f5a5.jpg,Чайник SMEG KLF04BLEU,Чайник SMEG KLF04BLEU,24490,RUB,Да,SMEG,Бытовая техника,Техника для кухни,Чайники,https://entero.ru/item/111446,"<p>Чайник <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/111446"">Smeg KLF04BLEU</a></b> предназначен для быстрого подогрева воды в частных домах и квартирах. Модель выполнена в стиле 50-х годов. Устройство оснащено световыми индикаторами температуры, съемным моющимся фильтром из нержавеющей стали, отделением для хранения шнура в базе и нескользящими ножками для удобной установки на любой поверхности.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Корпус вращается на 360°</li>
<li>Регулировка температуры: 50 / 60 / 70 / 80 / 90 / 95 / 100 °С</li>
<li>Автоматическое выключение при достижении заданной температуры</li>
<li>Поддержка тепла</li>
<li>Автоматическое выключение при снятии с базы</li>
<li>Автоматическое отключение без воды</li>
<li>Мягкое открывание крышки</li>
</ul>",111446,220 В,от 2.2 до 2.4 кВт,226 мм,171 мм,275 мм,,Италия,,,0,https://entero.ru/manuals/108204/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Smeg%20KLF04BLEU.pdf,,,,1.7 л,черный,нерж. сталь,,,Да
https://cdn.entero.ru/mp@2x/3b/b8/3bb85c07709ca85d908af8d36b8bd804.jpg;https://cdn.entero.ru/mp@2x/dd/62/dd627e6d4732ce19debaa08e929475e0.jpg;https://cdn.entero.ru/mp@2x/bb/14/bb14c50956513536bcd881010bead8ad.jpg;https://cdn.entero.ru/mp@2x/49/ed/49eda7139ce48d322bfe6606befd8595.jpg;https://cdn.entero.ru/mp@2x/eb/0d/eb0d6e7bd6947cb38ea8c7962ea5a548.jpg,Чайник Steba WK 20 INOX,Чайник Steba WK 20 INOX,6729,RUB,Да,,Бытовая техника,Техника для кухни,Чайники,https://entero.ru/item/168919,"<p>Чайник<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/168919"">Steba WK 20 INOX</a> </b>предназначен для нагрева и кипячения воды при приготовлении чая и кофе в частных домах, квартирах, отелях и офисах. Модель оснащена индикатором уровня воды. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Открытие крышки нажатием кнопки</li>
<li>Вращение на 360° на подставке</li>
<li>Фильтр от накипи</li>
<li>Подсветка кнопки включения</li>
<li>Автоматическое отключение</li>
<li>Скрытый нагревательный элемент</li>
<li>Защита от перегрева и выкипания</li>
<li>Место для хранения кабеля</li>
</ul>",168919,220 В,2.2 кВт,220 мм,140 мм,240 мм,,Китай,,,0,https://entero.ru/manuals/194886/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Steba%20WK%2020%20INOX%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,9613,,1 кг,1.7 л,нерж. сталь,нерж. сталь,,Германия,
https://cdn.entero.ru/mp@2x/52/ba/52ba55cb67a8f36124ff8a0dca9d3c16.jpg;https://cdn.entero.ru/mp@2x/20/99/2099465745e131dce60383714fe6c07d.jpg;https://cdn.entero.ru/mp@2x/25/84/2584e0c8ff51e7eede7c0834b83d7935.jpg;https://cdn.entero.ru/mp@2x/5e/f5/5ef598f75df1622318ef0ca62d4c4d6e.jpg;https://cdn.entero.ru/mp@2x/8a/d3/8ad35a3520956e4da75960ca2aceeb82.jpg;https://cdn.entero.ru/mp@2x/71/6a/716af74e7a46e7086afdcf4ec37c912d.jpg,Чайник CASO Classico WK 2200,1886,7509,RUB,Да,CASO,Бытовая техника,Техника для кухни,Чайники,https://entero.ru/item/344035,"<p>Чайник<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/344035"">CASO Classico WK 2200</a> </b>предназначен для нагрева воды для чая и кофе в частных домах, квартирах, отелях и офисах. Модель оснащена индикатором уровня воды, фильтром от накипи, технологией Strix для защиты от выкипания и перегрева и местом для хранения кабеля. Корпус выполнен из нержавеющей стали.</p>",344035,220 В,2.2 кВт,,,,,Китай,,,0,,9157,,1.7 кг,1.7 л,,нерж. сталь,,Германия,
https://cdn.entero.ru/mp@2x/27/ec/27ec2a5965c5f8c20c8a6676aebaf82d.jpg;https://cdn.entero.ru/mp@2x/db/92/db922a5761c07dfd0b6f502702debc3f.jpg;https://cdn.entero.ru/mp@2x/e7/2b/e72b90622c14a520bbd929166a6787bc.jpg;https://cdn.entero.ru/mp@2x/fb/1d/fb1d7157e2cbc26f1902a8acbecaf516.jpg;https://cdn.entero.ru/mp@2x/7b/63/7b63738b61ad23b0be033ce3c0107668.jpg,Чайник CASO WK 2100,Чайник CASO WK 2100,9365,RUB,Да,CASO,Бытовая техника,Техника для кухни,Чайники,https://entero.ru/item/210423,"<p>Чайник <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/210423"">CASO WK 2100</a></b> предназначен для нагрева воды для чая и кофе в частных домах, квартирах, отелях и офисах. Модель оснащена кнопочной панелью управления на подставке, дисплеем, на котором отображается заданная и текущая температура, индикатором уровня воды и съемным фильтром от накипи.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Выбор температуры</li>
<li>Функция поддержания тепла</li>
<li>Звуковой сигнал</li>
<li>Автоматическое отключение</li>
<li>Встроенный нагревательный элемент </li>
<li>Защита от перегрева, сухого кипения и избыточного давления</li>
<li>Подсветка кнопок</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон температур: от 40 до 100 °С</li>
<li>Шаг установки температуры: 10 °С</li>
</ul>",210423,220 В,2.2 кВт,155 мм,210 мм,215 мм,,Китай,,,0,https://entero.ru/manuals/246406/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CASO%20WK%202100.pdf,,,1.16 кг,1.2 л,нерж. сталь,нерж. сталь,,Германия,Да
https://cdn.entero.ru/mp@2x/15/bb/15bb9441f1af5756f8fa997e392b9e64.jpg;https://cdn.entero.ru/mp@2x/37/1c/371c291bda008f9b22dbe31730ec742c.jpg;https://cdn.entero.ru/mp@2x/01/9e/019e9f080be93ae1277e273887f58906.jpg,Чайник SMEG KLF03RDEU,Чайник SMEG KLF03RDEU,17990,RUB,Да,SMEG,Бытовая техника,Техника для кухни,Чайники,https://entero.ru/item/94953,"<p>Чайник <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/94953"">Smeg KLF03RDEU</a></b> предназначен для быстрого подогрева воды в частных домах и квартирах. Модель выполнена в стиле 50-х годов. Устройство оснащено скрытым нагревательным элементом, съемным моющимся фильтром из нержавеющей стали, отделением для хранения шнура в базе и нескользящими ножками для удобной установки на любой поверхности.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Корпус вращается на 360°</li>
<li>Индикация уровня воды</li>
<li>Автоматическое выключение при достижении заданной температуры</li>
<li>Автоматическое выключение при снятии с базы</li>
<li>Автоматическое отключение без воды</li>
<li>Мягкое открывание крышки</li>
</ul>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Длина кабеля: 1 м</li>
<li>Габариты в упаковке: 273x228x260 мм</li>
</ul>",94953,220 В,2.4 кВт,226 мм,171 мм,248 мм,,Италия,,,0,https://entero.ru/manuals/84752/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Smeg%20KLF03RDEU.pdf,,,,1.7 л,красный,нерж. сталь,,,
https://cdn.entero.ru/mp@2x/12/aa/12aa49aa941482f3500169f909945162.jpg;https://cdn.entero.ru/mp@2x/7c/ed/7ced565492456dd7f43f90c4d0bdbc03.jpg;https://cdn.entero.ru/mp@2x/80/be/80be24669c8124e99c22d96cf75b0a78.jpg;https://cdn.entero.ru/mp@2x/e3/0a/e30a1bec91a2f27c7b735b67a8ec34e3.jpg;https://cdn.entero.ru/mp@2x/25/bf/25bf80cf3ea779e2ed70056510684726.jpg;https://cdn.entero.ru/mp@2x/88/1a/881a59e0e3d68a0f00794da3a6647f19.jpg;https://cdn.entero.ru/mp@2x/4f/3c/4f3ca02ce94901555aa05ec58a2d71bb.jpg;https://cdn.entero.ru/mp@2x/13/1f/131f9464cf531ce36e85eff14ddccaa4.jpg,Диспенсер для горячей воды CASO PerfectCup 1000 Pro,1878,19751,RUB,Да,CASO,Бытовая техника,Техника для кухни,Чайники,https://entero.ru/item/278683,"<p>Диспенсер для горячей воды<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/278683"">CASO PerfectCup 1000 Pro</a></b> предназначен для подогрева воды и ее порционного розлива в частных домах и квартирах, мобильных кейтерингах, пансионатах, конференц-залах, офисных кухонях. Модель оснащена сенсорной панелью управления, большим съемным резервуаром для воды, встроенным фильтром и поддоном для сбора капель. Корпус выполнен из нержавеющей стали и пластика.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Экономия времени</li>
<li>Кнопочное управление прямого выбора для маленьких и больших чашек</li>
<li>Настройка 2х разных объёмов подачи воды</li>
<li>Кнопка постоянной подачи воды</li>
<li>Съемный поддон для сбора капель для легкой и быстрой очистки</li>
<li>Индикатор уровня воды</li>
</ul>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Температура воды: от 70 до 100 °C (с шагом 10 °C) </li>
</ul>",278683,220 В,2.6 кВт,195 мм,305 мм,340 мм,,Китай,,,0,https://entero.ru/manuals/343845/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CASO%20PerfectCup%201000%20Pro%20%28%D0%B0%D0%BD%D0%B3%D0%BB%29.pdf;https://entero.ru/manuals/343846/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,,3.2 кг,4 л,нерж. сталь,"нерж. сталь, пластик",,Германия,
https://cdn.entero.ru/mp@2x/fe/95/fe95ea769f520488e73c674f40ffa3ef.jpg;https://cdn.entero.ru/mp@2x/e5/c7/e5c7a750a07d7e4758f21fe00fc32183.jpg;https://cdn.entero.ru/mp@2x/2d/a3/2da3e7069fa866a264d19b7c52268779.jpg;https://cdn.entero.ru/mp@2x/68/20/6820549bb915c4bbe997f9a8d07e1889.jpg;https://cdn.entero.ru/mp@2x/14/8f/148f4acdc9abbea4efc20d200ad72a01.jpg;https://cdn.entero.ru/mp@2x/a9/bd/a9bd333868cdb07d76804b9ba565fa01.jpg;https://cdn.entero.ru/mp@2x/2d/9e/2d9e931429811ea0ae108aa4f2161b9f.jpg;https://cdn.entero.ru/mp@2x/7f/ed/7fed517459b18eb266dad9409dfbd584.jpg;https://cdn.entero.ru/mp@2x/eb/23/eb23e6b768a431adf728900a2b38aeab.jpg;https://cdn.entero.ru/mp@2x/fa/1b/fa1b0ff065c2161069cc90f4e98e2263.jpg;https://cdn.entero.ru/mp@2x/d5/4f/d54f413f398116aae4053696f0506b21.jpg;https://cdn.entero.ru/mp@2x/fd/49/fd493e801d3a8cb4d053622b93dc626f.jpg;https://cdn.entero.ru/mp@2x/cf/61/cf61cb8351b421750adbfca3392b07dc.jpg;https://cdn.entero.ru/mp@2x/48/0c/480c76412c00e3b56f4d21eea847e442.jpg;https://cdn.entero.ru/mp@2x/7c/f6/7cf6edfbb4731f70fee534331de15f3c.jpg,Чайник электрический Libhof EK-1710 matte white белый матовый,EK-1710W,3279,RUB,Да,,Бытовая техника,Техника для кухни,Чайники,https://entero.ru/item/365906,"<p>Электрический чайник <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/365906""><b class=""b"">Libhof EK-1710 matte white</b></a> предназначен для подогрева воды и приготовления горячих напитков в отелях, офисах и домашних условиях. Модель оснащена круглой подставкой, кабелем питания с вилкой, откидной крышкой, интегрированным в кромку емкости изливом, Г-образной рукояткой, расположенными верхней части рукоятки сенсорной панелью управления и светодиодным цифровым дисплеем. Подставка, внешняя облицовка корпуса и крышки выполнены из белого пластика с матовой поверхностью, бесшовная внутренняя облицовка корпуса и крышки – из высококачественной пищевой нержавеющей стали марки SUS304.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Функции:
<ul>
<li>Закипание</li>
<li>Поддержание тепла:
<ul>
<li>6 вариантов заданной температуры</li>
<li>Энергосберегающее автоматическое отключение при длительном отсутствии действий</li>
</ul>
</li>
</ul>
</li>
<li>Автоматическое выключение при закипании</li>
<li>Удобно расположенная в центре крышки кнопка открывания</li>
<li>Цифровая индикация актуальной температуры</li>
<li>Светодиодные сигнальные индикаторы питания, активации нагрева и функции поддержания тепла</li>
<li>Звуковая сигнализация для оповещения о достижении заданной температуры и неисправностях</li>
<li>Самодиагностика с индикацией кодов неисправностей</li>
<li>Отметки минимального и максимального уровня заполнения на внутренней стенке</li>
<li>Мелкоячеистый сетчатый фильтр от накипи</li>
<li>Закрытый дисковый нагревательный элемент для минимизации накипи и удобства очистки емкости</li>
<li>Защита от перегрева и «сухого» нагрева</li>
<li>Термоизолированные корпус и рукоятка</li>
<li>Установка на подставку в любом положении</li>
<li>Эргономичный стильный дизайн</li>
</ul>

<p><b>​Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон заданной температуры при поддержании тепла: 40 / 50 / 60 / 70 / 80 / 90 °C</li>
<li>Номинальная сила тока: 8,4 А</li>
<li>Максимальная длительность функции поддержания тепла до автоматического отключения: 1 ч</li>
<li>Средний срок эксплуатации: 5 л.</li>
<li>Угол вращения на подставке: 360°</li>
<li>Длина кабеля питания: 700 мм</li>
<li>Диаметр подставки: 160 мм</li>
</ul>",365906,220 В,от 1.85 до 2.2 кВт,160 мм,233 мм,267 мм,1.5 кг,,1,195x235x280 мм,0,https://entero.ru/manuals/476722/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Libhof%20EK-1710.pdf,,,1.15 кг,1.7 л,белый,"нерж. сталь, пластик",,Словакия,
https://cdn.entero.ru/mp@2x/3d/d5/3dd5d0feaedef8f2bc5e30a92b310af1.jpg,Чайник HENDI 209936,Чайник HENDI 209936,4430,RUB,Да,HENDI,Бытовая техника,Техника для кухни,Чайники,https://entero.ru/item/290561,"<p>Электрический чайник ​<a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/290561""><b class=""b"">HENDI 209936</b></a> предназначен для быстрого подогрева воды в частных домах и квартирах. Корпус и дно выполнены из нержавеющей стали AISI 304, ручка - из полипропилена.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Отдельная база питания</li>
<li>Возможность поворота на базе на 360°</li>
<li>Индикация включенного состояния контрольной лампочкой</li>
<li>ТЭН установлен под дном: защита от накипи</li>
<li>Автоматическое отключение</li>
<li>Защита от включения без воды</li>
</ul>",290561,220 В,2.15 кВт,156 мм,220 мм,254 мм,,Китай,,,0,,5212,,1.1 кг,2.5 л,нерж. сталь,нерж. сталь,,,
https://cdn.entero.ru/mp@2x/11/b1/11b105ccfbcb17117199555560c6e2ea.jpg;https://cdn.entero.ru/mp@2x/06/2f/062fa2c1b134f6c18250de67abe1ed55.jpg;https://cdn.entero.ru/mp@2x/f7/d8/f7d893caa1a7983bf5be36db788df012.jpg,Чайник Black+Decker BXKE2201E,Чайник Black+Decker BXKE2201E,5563,RUB,Да,,Бытовая техника,Техника для кухни,Чайники,https://entero.ru/item/252231,"<p>Чайник <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/252231"">Black+Decker BXKE2201E</a></b> предназначен для нагрева и кипячения воды при приготовлении чая и кофе в частных домах, квартирах, отелях и офисах. Модель оснащена светодиодным индикатором включения/выключения и съемным моющимся фильтром от накипи. Корпус выполнен из нержавеющей стали с покрытием, защищающим от отпечатков пальцев, нагревательный элемент - из нержавеющей стали.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Скрытый нагревательный элемент</li>
<li>Индикатор уровня воды</li>
<li>Защита от перегрева и выкипания</li>
</ul>",252231,220 В,2.2 кВт,,,,,Китай,,,0,https://entero.ru/manuals/309526/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Black+Decker%20BXKE2201E.pdf,7947,,,1.7 л,нерж. сталь,нерж. сталь,,США,
https://cdn.entero.ru/mp@2x/aa/45/aa451ec542ae1f8c86d0ae9d9b022102.jpg;https://cdn.entero.ru/mp@2x/fa/91/fa910d5129c90a68227a79a023c370ea.jpg;https://cdn.entero.ru/mp@2x/ad/67/ad677c75f3041a19c32ecef6d925d144.jpg;https://cdn.entero.ru/mp@2x/52/c8/52c871db11b1a8c9eb4b6ad9de63ebab.jpg;https://cdn.entero.ru/mp@2x/29/55/2955d499edf4a5ba2db9a9a6e98e1b35.jpg,Чайник Graef WK 402,WK402EU,7016,RUB,Да,,Бытовая техника,Техника для кухни,Чайники,https://entero.ru/item/265167,"<p>Чайник <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/265167"">Graef WK 402</a></b> предназначен для нагрева и кипячения воды при приготовлении чая и кофе в частных домах, квартирах, отелях и офисах. Модель оснащена двойными стенками и съемным фильтром от накипи. Корпус снаружи выполнен из пластика, изнутри - из нержавеющей стали, фильтр - из нержавеющей стали. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Центральный контакт, допускающий вращение чайника на подставке на 360°</li>
<li>Скрытый нагревательный элемент</li>
<li>Отключение при снятии с подставки</li>
<li>Автоматическое отключение</li>
<li>Подсветка кнопки включения</li>
<li>Открытие крышки нажатием на кнопку</li>
<li>Метки максимального и минимального уровня воды</li>
<li>Защита от выкипания и перегрева</li>
<li>Фильтр можно мыть в посудомоечной машине</li>
<li>Отсек для хранения кабеля в подставке</li>
</ul>",265167,220 В,2.015 кВт,205 мм,130 мм,230 мм,,Китай,,,0,https://entero.ru/manuals/328369/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Graef%20WK%20402.pdf,,,0.98 кг,1 л,черный,"нерж. сталь, пластик",,Германия,
https://cdn.entero.ru/mp@2x/19/62/1962952407f081d614850e587d7cef6e.jpg;https://cdn.entero.ru/mp@2x/06/4a/064ac187bc546db1bbaddf6e5b953a61.jpg;https://cdn.entero.ru/mp@2x/85/b4/85b48d2a3fde615e24d89a5e6d140d08.jpg;https://cdn.entero.ru/mp@2x/c4/22/c4224123da984287a352eadd8e350cb5.jpg;https://cdn.entero.ru/mp@2x/f1/9b/f19bab929cd7da154ea9f0764c7e3308.jpg,Чайник Steba WK 11 BIANCO,Чайник Steba WK 11 BIANCO,7886,RUB,Да,,Бытовая техника,Техника для кухни,Чайники,https://entero.ru/item/168916,"<p>Чайник<a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/168916""><b class=""b""> Steba WK 11 BIANCO </b></a>предназначен для нагрева и кипячения воды для приготовления чая и кофе в частных домах, квартирах, отелях и офисах. Модель оснащена панелью управления на ручке. Корпус с двойными стенками и термоизоляцией выполнен из пластика снаружи и из нержавеющей стали внутри.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Регулируемая температура 50 / 70 / 80 / 90 / 100 °С</li>
<li>Индикатор уровня воды</li>
<li>Открытие крышки нажатием кнопки</li>
<li>Вращение на 360° на подставке</li>
<li>Фильтр от накипи</li>
<li>Подсветка кнопки включения</li>
<li>Автоматическое отключение</li>
<li>Скрытый нагревательный элемент</li>
<li>Защита от перегрева и выкипания</li>
<li>Место для хранения кабеля</li>
</ul>",168916,220 В,2.2 кВт,220 мм,150 мм,235 мм,,Китай,,,0,https://entero.ru/manuals/194884/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Steba%20WK%2011%20BIANCO%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,,1.1 кг,1.7 л,белый,,,Германия,Да
